Name;StartLine;EndLine;MaxPowerFlow;MinPowerFlow;Susceptance;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
LLTGES0001a;ES00001;ES00002;854.105;-854.105;1.1747408701169026;500.0;0.0;100.0
LLTGES0002a;ES00738;ES01104;854.105;-854.105;2.3494817402338053;500.0;0.0;100.0
LLTGES0003a;ES00003;ES00005;854.105;-854.105;1.3772823994474035;500.0;0.0;100.0
LLTGES0004a;ES00007;ES00009;3105.838;-3105.838;0.11205681597608784;500.0;0.0;100.0
LLTGES0005;ES00010;ES00870;1552.919;-1552.919;10.82559699206827;500.0;0.0;100.0
LLTGES0006;ES00015;ES00687;427.053;-427.053;1.5976475833589878;500.0;0.0;100.0
LLTGES0007;ES00687;ES00016;427.053;-427.053;0.5388356099018509;500.0;0.0;100.0
LLTGES0008;ES00016;ES00931;427.053;-427.053;0.12530569281246962;500.0;0.0;100.0
LLTGES0009a;ES00014;ES00017;3105.838;-3105.838;0.037746509796591055;500.0;0.0;100.0
LLTGES0010a;ES00019;ES00021;3105.838;-3105.838;0.5669456315732851;500.0;0.0;100.0
LLTGES0011a;ES00018;ES01080;854.105;-854.105;0.5438800283775277;500.0;0.0;100.0
LLTGES0012a;ES01080;ES00022;854.105;-854.105;2.28235369051284;500.0;0.0;100.0
LLTGES0013a;ES00018;ES01103;854.105;-854.105;1.08131816132588;500.0;0.0;100.0
LLTGES0014;ES00023;ES00015;427.053;-427.053;0.20159590957211201;500.0;0.0;100.0
LLTGES0015a;ES00013;ES00024;854.105;-854.105;0.3188917332053868;500.0;0.0;100.0
LLTGES0016a;ES00299;ES00024;2135.263;-2135.263;3.534618547254398;500.0;0.0;100.0
LLTGES0017;ES00025;ES00026;427.053;-427.053;0.0775745367010919;500.0;0.0;100.0
LLTGES0018;ES00026;ES00713;427.053;-427.053;0.041708591133245994;500.0;0.0;100.0
LLTGES0019a;ES00029;ES00031;6211.676;-6211.676;5.201910242941897;500.0;0.0;100.0
LLTGES0020a;ES00033;ES00029;6211.676;-6211.676;6.210032383046914;500.0;0.0;100.0
LLTGES0021a;ES00035;ES00036;3105.838;-3105.838;0.035231514531315504;500.0;0.0;100.0
LLTGES0022;ES00037;ES00039;1552.919;-1552.919;0.06379154144075903;500.0;0.0;100.0
LLTGES0023;ES00041;ES00043;1552.919;-1552.919;0.05960522153370923;500.0;0.0;100.0
LLTGES0024;ES00044;ES00027;427.053;-427.053;0.04279222133009208;500.0;0.0;100.0
LLTGES0025;ES00039;ES00046;1552.919;-1552.919;0.06536342831372813;500.0;0.0;100.0
LLTGES0026a;ES00047;ES00048;854.105;-854.105;0.47619898162712;500.0;0.0;100.0
LLTGES0027a;ES00050;ES00926;3105.838;-3105.838;0.13518295265154437;500.0;0.0;100.0
LLTGES0028a;ES00003;ES00051;854.105;-854.105;0.9846826399747228;500.0;0.0;100.0
LLTGES0029a;ES00051;ES00052;854.105;-854.105;1.4169823355733817;500.0;0.0;100.0
LLTGES0030;ES00054;ES00056;427.053;-427.053;0.03116752991336301;500.0;0.0;100.0
LLTGES0031;ES00059;ES00054;427.053;-427.053;0.02026057426109933;500.0;0.0;100.0
LLTGES0032;ES00696;ES00060;427.053;-427.053;1.1704377900065845;500.0;0.0;100.0
LLTGES0033a;ES00062;ES00055;3105.838;-3105.838;0.057533336499070095;500.0;0.0;100.0
LLTGES0034;ES00061;ES00695;1552.919;-1552.919;0.848616713361284;500.0;0.0;100.0
LLTGES0035;ES00697;ES00063;427.053;-427.053;0.1224251021731025;500.0;0.0;100.0
LLTGES0036;ES00066;ES00039;1552.919;-1552.919;0.03849933570804748;500.0;0.0;100.0
LLTGES0037;ES00041;ES00691;1552.919;-1552.919;0.05559293389403553;500.0;0.0;100.0
LLTGES0038;ES00691;ES00693;1552.919;-1552.919;0.1783379736004123;500.0;0.0;100.0
LLTGES0039;ES00693;ES00039;1552.919;-1552.919;0.0678663315327899;500.0;0.0;100.0
LLTGES0040a;ES00067;ES00068;3105.838;-3105.838;0.16932872065378396;500.0;0.0;100.0
LLTGES0041a;ES00068;ES00069;3105.838;-3105.838;0.07588993723124782;500.0;0.0;100.0
LLTGES0042a;ES00071;ES00072;4658.757;-4658.757;0.17032477195174742;500.0;0.0;100.0
LLTGES0043;ES00073;ES00699;427.053;-427.053;1.5215691270085596;500.0;0.0;100.0
LLTGES0044;ES00699;ES00775;427.053;-427.053;0.13826461128160863;500.0;0.0;100.0
LLTGES0045;ES00075;ES00076;1552.919;-1552.919;0.02488642986682361;500.0;0.0;100.0
LLTGES0046a;ES00705;ES00078;854.105;-854.105;1.750846666694781;500.0;0.0;100.0
LLTGES0047a;ES00704;ES00077;293.971;-293.971;1.3573078270022914;500.0;0.0;100.0
LLTGES0048a;ES00079;ES00702;3105.838;-3105.838;10.403820485883793;500.0;0.0;100.0
LLTGES0049;ES00080;ES00082;1552.919;-1552.919;0.05202585903448838;500.0;0.0;100.0
LLTGES0050;ES00083;ES00054;427.053;-427.053;0.1374320501814183;500.0;0.0;100.0
