Name;Zone;NumberUnits;MaxPower;MinPower;MaxPowerProfile;Energy;Kappa;Capacity;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
G0460;ES00579;1;20.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;20.0;2.0;0.0;1.0595e6
G0014;ES00017;1;26.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;26.0;3.0;0.0;1.0595e6
G0016;ES00025;1;28.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;28.0;3.0;0.0;1.0595e6
G0018;ES00027;1;70.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;70.0;7.0;0.0;1.0595e6
G0022;ES00037;1;244.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;244.0;25.0;0.0;1.0595e6
G0023;ES00040;1;92.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;92.0;10.0;0.0;1.0595e6
G0027;ES00054;1;189.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;189.0;19.0;0.0;1.0595e6
G0028;ES00056;1;45.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;45.0;5.0;0.0;1.0595e6
G0033;ES00061;1;46.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;46.0;5.0;0.0;1.0595e6
G0035;ES00064;1;98.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;98.0;10.0;0.0;1.0595e6
G0036;ES00065;1;178.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;178.0;18.0;0.0;1.0595e6
G0038;ES00072;1;563.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;563.0;57.0;0.0;1.0595e6
G0042;ES00075;1;353.2;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;353.2;36.0;0.0;1.0595e6
G0048;ES00081;1;89.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;89.0;9.0;0.0;1.0595e6
G0050;ES00085;1;424.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;424.0;43.0;0.0;1.0595e6
G0056;ES00096;1;54.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;54.0;6.0;0.0;1.0595e6
G0060;ES00107;1;290.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;290.0;29.0;0.0;1.0595e6
G0061;ES00109;1;91.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;91.0;10.0;0.0;1.0595e6
G0068;ES00125;1;72.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;72.0;8.0;0.0;1.0595e6
G0069;ES00128;1;33.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;33.0;4.0;0.0;1.0595e6
G0073;ES00131;1;50.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;50.0;5.0;0.0;1.0595e6
G0075;ES00132;1;224.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;224.0;23.0;0.0;1.0595e6
G0081;ES00142;1;39.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;39.0;4.0;0.0;1.0595e6
G0089;ES00155;1;18.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;18.0;2.0;0.0;1.0595e6
G0097;ES00169;1;90.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;90.0;9.0;0.0;1.0595e6
G0099;ES00170;1;178.2;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;178.2;18.0;0.0;1.0595e6
G0101;ES00177;1;126.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;126.0;13.0;0.0;1.0595e6
G0103;ES00179;1;13.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;13.0;2.0;0.0;1.0595e6
G0105;ES00182;1;442.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;442.0;45.0;0.0;1.0595e6
G0119;ES00191;1;101.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;101.0;11.0;0.0;1.0595e6
G0120;ES00192;1;128.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;128.0;13.0;0.0;1.0595e6
G0122;ES00193;1;200.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;200.0;20.0;0.0;1.0595e6
G0124;ES00195;1;15.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;15.0;2.0;0.0;1.0595e6
G0130;ES00199;1;25.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;25.0;3.0;0.0;1.0595e6
G0134;ES00204;1;74.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;74.0;8.0;0.0;1.0595e6
G0137;ES00207;1;30.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;30.0;3.0;0.0;1.0595e6
G0142;ES00213;1;76.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;76.0;8.0;0.0;1.0595e6
G0147;ES00227;1;20.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;20.0;2.0;0.0;1.0595e6
G0148;ES00230;1;29.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;29.0;3.0;0.0;1.0595e6
G0150;ES00232;1;100.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;100.0;10.0;0.0;1.0595e6
G0152;ES00239;1;28.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;28.0;3.0;0.0;1.0595e6
G0153;ES00240;1;495.8;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;495.8;50.0;0.0;1.0595e6
G0159;ES00242;1;173.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;173.0;18.0;0.0;1.0595e6
G0165;ES00264;1;24.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;24.0;3.0;0.0;1.0595e6
G0167;ES00266;1;27.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;27.0;3.0;0.0;1.0595e6
G0175;ES00272;1;18.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;18.0;2.0;0.0;1.0595e6
G0181;ES00278;1;84.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;84.0;9.0;0.0;1.0595e6
G0183;ES00280;1;528.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;528.0;53.0;0.0;1.0595e6
G0185;ES00281;1;64.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;64.0;7.0;0.0;1.0595e6
G0188;ES00284;1;100.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;100.0;10.0;0.0;1.0595e6
G0208;ES00293;1;69.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;69.0;7.0;0.0;1.0595e6
G0213;ES00304;1;30.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;30.0;3.0;0.0;1.0595e6
G0215;ES00306;1;43.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;43.0;5.0;0.0;1.0595e6
G0216;ES00307;1;11.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;11.0;2.0;0.0;1.0595e6
G0218;ES00309;1;40.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;40.0;4.0;0.0;1.0595e6
G0220;ES00310;1;30.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;30.0;3.0;0.0;1.0595e6
G0223;ES00316;1;15.37;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;15.37;2.0;0.0;1.0595e6
G0227;ES00319;1;111.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;111.0;12.0;0.0;1.0595e6
G0228;ES00321;1;144.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;144.0;15.0;0.0;1.0595e6
G0229;ES00322;1;204.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;204.0;21.0;0.0;1.0595e6
