Zone;Name;NumberUnits;MaxPower;MaxPowerProfile;VariableCost;FixedCost;InvestmentCost;Capacity;Energy;MaxAddedCapacity
ES00157;G0090;1;50.0;;64.022;55242.33;2.511015e6;50.0;0.0;5.0
ES00287;G0190;1;38.0;;64.022;55242.33;2.511015e6;38.0;0.0;4.0
ES00399;G0315;1;50.0;;64.022;55242.33;2.511015e6;50.0;0.0;5.0
ES00553;G0443;1;37.0;;64.022;55242.33;2.511015e6;37.0;0.0;4.0
ES00553;G0445;1;40.0;;64.022;55242.33;2.511015e6;40.0;0.0;4.0
ES00570;G0455;1;50.0;;64.022;55242.33;2.511015e6;50.0;0.0;5.0
ES00740;G0567;1;30.0;;64.022;55242.33;2.511015e6;30.0;0.0;3.0
ES00960;G0704;1;50.0;;64.022;55242.33;2.511015e6;50.0;0.0;5.0
ES01032;G0746;1;57.0;;64.022;55242.33;2.511015e6;57.0;0.0;6.0
ES01171;G0845;1;50.0;;64.022;55242.33;2.511015e6;50.0;0.0;5.0
ES01171;G0846;1;41.0;;64.022;55242.33;2.511015e6;41.0;0.0;5.0
ES00072;G0039;1;366.0;;13.05;42380.0;1.6952e6;366.0;0.0;37.0
ES00072;G0040;1;369.0;;13.05;42380.0;1.6952e6;369.0;0.0;37.0
ES00101;G0058;1;556.0;;13.05;42380.0;1.6952e6;556.0;0.0;56.0
ES00101;G0059;1;360.0;;13.05;42380.0;1.6952e6;360.0;0.0;36.0
ES00187;G0109;1;589.0;;13.05;42380.0;1.6952e6;589.0;0.0;59.0
ES00291;G0204;1;130.0;;13.05;42380.0;1.6952e6;130.0;0.0;13.0
ES00291;G0206;1;130.0;;13.05;42380.0;1.6952e6;130.0;0.0;13.0
ES00558;G0446;1;350.0;;13.05;42380.0;1.6952e6;350.0;0.0;35.0
ES01013;G0742;1;50.0;;13.05;42380.0;1.6952e6;50.0;0.0;5.0
ES00007;G0004;1;389.0;;31.24;18011.5;663122.3529;389.0;0.0;39.0
ES00007;G0005;1;373.0;;31.24;18011.5;663122.3529;373.0;0.0;38.0
ES00007;G0006;1;823.0;;31.24;18011.5;663122.3529;823.0;0.0;83.0
ES00072;G0041;1;856.0;;31.24;18011.5;663122.3529;856.0;0.0;86.0
ES00080;G0045;1;800.0;;31.24;18011.5;663122.3529;800.0;0.0;80.0
ES00117;G0065;1;412.0;;31.24;18011.5;663122.3529;412.0;0.0;42.0
ES00117;G0066;1;411.0;;31.24;18011.5;663122.3529;411.0;0.0;42.0
ES00117;G0067;1;410.0;;31.24;18011.5;663122.3529;410.0;0.0;41.0
ES00136;G0077;1;395.0;;31.24;18011.5;663122.3529;395.0;0.0;40.0
ES00136;G0078;1;390.0;;31.24;18011.5;663122.3529;390.0;0.0;39.0
ES00153;G0085;1;425.0;;31.24;18011.5;663122.3529;425.0;0.0;43.0
ES00153;G0086;1;379.0;;31.24;18011.5;663122.3529;379.0;0.0;38.0
ES00153;G0088;1;418.0;;31.24;18011.5;663122.3529;418.0;0.0;42.0
ES00187;G0107;1;390.0;;31.24;18011.5;663122.3529;390.0;0.0;39.0
ES00187;G0108;1;402.0;;31.24;18011.5;663122.3529;402.0;0.0;41.0
ES00190;G0111;1;36.0;;31.24;18011.5;663122.3529;36.0;0.0;4.0
ES00190;G0113;1;821.0;;31.24;18011.5;663122.3529;821.0;0.0;83.0
ES00190;G0114;1;393.0;;31.24;18011.5;663122.3529;393.0;0.0;40.0
ES00190;G0115;1;388.0;;31.24;18011.5;663122.3529;388.0;0.0;39.0
ES00212;G0140;1;25.0;;31.24;18011.5;663122.3529;25.0;0.0;3.0
ES00222;G0145;1;47.0;;31.24;18011.5;663122.3529;47.0;0.0;5.0
ES00267;G0168;1;782.0;;31.24;18011.5;663122.3529;782.0;0.0;79.0
ES00267;G0169;1;858.0;;31.24;18011.5;663122.3529;858.0;0.0;86.0
ES00267;G0170;1;26.0;;31.24;18011.5;663122.3529;26.0;0.0;3.0
ES00269;G0171;1;804.0;;31.24;18011.5;663122.3529;804.0;0.0;81.0
ES00269;G0172;1;275.0;;31.24;18011.5;663122.3529;275.0;0.0;28.0
ES00273;G0176;1;40.0;;31.24;18011.5;663122.3529;40.0;0.0;4.0
ES00281;G0184;1;21.0;;31.24;18011.5;663122.3529;21.0;0.0;3.0
ES00287;G0189;1;233.0;;31.24;18011.5;663122.3529;233.0;0.0;24.0
ES00287;G0192;1;226.0;;31.24;18011.5;663122.3529;226.0;0.0;23.0
ES00300;G0209;1;43.0;;31.24;18011.5;663122.3529;43.0;0.0;5.0
ES00303;G0210;1;41.0;;31.24;18011.5;663122.3529;41.0;0.0;5.0
ES00303;G0211;1;50.0;;31.24;18011.5;663122.3529;50.0;0.0;5.0
ES00347;G0255;1;418.0;;31.24;18011.5;663122.3529;418.0;0.0;42.0
ES00347;G0256;1;401.0;;31.24;18011.5;663122.3529;401.0;0.0;41.0
ES00347;G0257;1;395.0;;31.24;18011.5;663122.3529;395.0;0.0;40.0
ES00347;G0258;1;816.0;;31.24;18011.5;663122.3529;816.0;0.0;82.0
ES00347;G0259;1;418.0;;31.24;18011.5;663122.3529;418.0;0.0;42.0
ES00347;G0260;1;22.0;;31.24;18011.5;663122.3529;22.0;0.0;3.0
ES00347;G0261;1;403.0;;31.24;18011.5;663122.3529;403.0;0.0;41.0
ES00347;G0262;1;413.0;;31.24;18011.5;663122.3529;413.0;0.0;42.0
