Type;Zone;value;Profile_Timeserie
Total;ES00001;129931.46194199499;Profile-Iberia2.csv
Total;ES00002;385880.303899822;Profile-Iberia2.csv
Total;ES00003;0.0;Profile-Iberia2.csv
Total;ES00004;389100.826337929;Profile-Iberia2.csv
Total;ES00005;286869.883302635;Profile-Iberia2.csv
Total;ES00006;192904.009997697;Profile-Iberia2.csv
Total;ES00007;0.0;Profile-Iberia2.csv
Total;ES00008;0.0;Profile-Iberia2.csv
Total;ES00009;453614.66853298503;Profile-Iberia2.csv
Total;ES00010;9973.3488388;Profile-Iberia2.csv
Total;ES00011;0.0;Profile-Iberia2.csv
Total;ES00012;1.06228288699469e6;Profile-Iberia2.csv
Total;ES00013;0.0;Profile-Iberia2.csv
Total;ES00014;562562.753509824;Profile-Iberia2.csv
Total;ES00015;184462.347943865;Profile-Iberia2.csv
Total;ES00016;939731.9319399401;Profile-Iberia2.csv
Total;ES00017;93809.18192983301;Profile-Iberia2.csv
Total;ES00018;0.0;Profile-Iberia2.csv
Total;ES00019;652000.131700961;Profile-Iberia2.csv
Total;ES00020;0.0;Profile-Iberia2.csv
Total;ES00021;387113.70520575804;Profile-Iberia2.csv
Total;ES00022;168971.632729105;Profile-Iberia2.csv
Total;ES00023;339821.27449414;Profile-Iberia2.csv
Total;ES00024;60200.368822275;Profile-Iberia2.csv
Total;ES00025;24588.651071769;Profile-Iberia2.csv
Total;ES00026;163947.443878293;Profile-Iberia2.csv
Total;ES00027;932851.693720366;Profile-Iberia2.csv
Total;ES00028;205991.285390226;Profile-Iberia2.csv
Total;ES00029;0.0;Profile-Iberia2.csv
Total;ES00030;451184.922859459;Profile-Iberia2.csv
Total;ES00031;0.0;Profile-Iberia2.csv
Total;ES00032;1.009788760122652e6;Profile-Iberia2.csv
Total;ES00033;0.0;Profile-Iberia2.csv
Total;ES00034;0.0;Profile-Iberia2.csv
Total;ES00035;73166.179805781;Profile-Iberia2.csv
Total;ES00036;64399.926421622;Profile-Iberia2.csv
Total;ES00037;33488.034938134;Profile-Iberia2.csv
Total;ES00038;48015.955995497;Profile-Iberia2.csv
Total;ES00039;0.0;Profile-Iberia2.csv
Total;ES00040;0.0;Profile-Iberia2.csv
Total;ES00041;125258.17027280499;Profile-Iberia2.csv
Total;ES00042;43516.282944854;Profile-Iberia2.csv
Total;ES00043;0.0;Profile-Iberia2.csv
Total;ES00044;76986.704399947;Profile-Iberia2.csv
Total;ES00045;23064.055429324002;Profile-Iberia2.csv
Total;ES00046;0.0;Profile-Iberia2.csv
Total;ES00047;687109.2933184659;Profile-Iberia2.csv
Total;ES00048;2.021207796785995e6;Profile-Iberia2.csv
Total;ES00049;0.0;Profile-Iberia2.csv
Total;ES00050;390028.85102231;Profile-Iberia2.csv
Total;ES00051;481256.39958070504;Profile-Iberia2.csv
Total;ES00052;773065.1492773431;Profile-Iberia2.csv
Total;ES00053;0.0;Profile-Iberia2.csv
Total;ES00054;0.0;Profile-Iberia2.csv
Total;ES00055;28536.12999175;Profile-Iberia2.csv
Total;ES00056;15554.764244;Profile-Iberia2.csv
Total;ES00057;14639.778112;Profile-Iberia2.csv
Total;ES00058;0.0;Profile-Iberia2.csv
Total;ES00059;6908.1452966;Profile-Iberia2.csv
Total;ES00060;0.0;Profile-Iberia2.csv
Total;ES00061;19306.2073852;Profile-Iberia2.csv
Total;ES00062;239026.40219302;Profile-Iberia2.csv
Total;ES00063;7045.393216400001;Profile-Iberia2.csv
Total;ES00064;0.0;Profile-Iberia2.csv
Total;ES00065;0.0;Profile-Iberia2.csv
Total;ES00066;26493.42345206;Profile-Iberia2.csv
Total;ES00067;27237.764670442;Profile-Iberia2.csv
Total;ES00068;21433.5501421;Profile-Iberia2.csv
Total;ES00069;14914.2739516;Profile-Iberia2.csv
Total;ES00070;0.0;Profile-Iberia2.csv
Total;ES00071;18734.3410527;Profile-Iberia2.csv
Total;ES00072;352665.621068623;Profile-Iberia2.csv
Total;ES00073;27789.272561505;Profile-Iberia2.csv
Total;ES00074;0.0;Profile-Iberia2.csv
Total;ES00075;179636.02484409802;Profile-Iberia2.csv
Total;ES00076;70737.57786492001;Profile-Iberia2.csv
Total;ES00077;448278.2406646279;Profile-Iberia2.csv
Total;ES00078;0.0;Profile-Iberia2.csv
Total;ES00079;4231.8108605;Profile-Iberia2.csv
Total;ES00080;7594.3848956;Profile-Iberia2.csv
Total;ES00081;42874.191426723;Profile-Iberia2.csv
Total;ES00082;0.0;Profile-Iberia2.csv
Total;ES00083;186803.339962587;Profile-Iberia2.csv
Total;ES00084;659056.504750945;Profile-Iberia2.csv
Total;ES00085;409921.564518122;Profile-Iberia2.csv
Total;ES00086;317301.407066823;Profile-Iberia2.csv
Total;ES00087;131770.584067315;Profile-Iberia2.csv
Total;ES00088;0.0;Profile-Iberia2.csv
Total;ES00089;63451.772042337005;Profile-Iberia2.csv
Total;ES00090;0.0;Profile-Iberia2.csv
Total;ES00091;0.0;Profile-Iberia2.csv
Total;ES00092;213470.153286661;Profile-Iberia2.csv
Total;ES00093;39948.752016186;Profile-Iberia2.csv
Total;ES00094;64900.423835826;Profile-Iberia2.csv
Total;ES00095;487834.00613711996;Profile-Iberia2.csv
Total;ES00096;68561.512096491;Profile-Iberia2.csv
Total;ES00097;0.0;Profile-Iberia2.csv
Total;ES00098;26449.275371191;Profile-Iberia2.csv
Total;ES00099;1.18490704094;Profile-Iberia2.csv
Total;ES00100;675761.635309402;Profile-Iberia2.csv
Total;ES00101;349452.418519572;Profile-Iberia2.csv
Total;ES00102;487939.00079576694;Profile-Iberia2.csv
Total;ES00103;110151.977980018;Profile-Iberia2.csv
Total;ES00104;0.0;Profile-Iberia2.csv
Total;ES00105;804609.982417642;Profile-Iberia2.csv
Total;ES00106;661438.442399074;Profile-Iberia2.csv
Total;ES00107;6176.1563909999995;Profile-Iberia2.csv
Total;ES00108;8097.6272682;Profile-Iberia2.csv
Total;ES00109;0.0;Profile-Iberia2.csv
Total;ES00110;1512.0145831300001;Profile-Iberia2.csv
Total;ES00111;48949.241850137;Profile-Iberia2.csv
Total;ES00112;15486.140284100002;Profile-Iberia2.csv
Total;ES00113;0.0;Profile-Iberia2.csv
Total;ES00114;0.0;Profile-Iberia2.csv
Total;ES00115;306546.888817828;Profile-Iberia2.csv
Total;ES00116;38340.20639613;Profile-Iberia2.csv
Total;ES00117;0.0;Profile-Iberia2.csv
Total;ES00118;138225.582482042;Profile-Iberia2.csv
Total;ES00119;198134.07072820902;Profile-Iberia2.csv
Total;ES00120;0.0;Profile-Iberia2.csv
Total;ES00121;674321.9046307;Profile-Iberia2.csv
Total;ES00122;0.0;Profile-Iberia2.csv
Total;ES00123;47067.115376613;Profile-Iberia2.csv
Total;ES00124;0.0;Profile-Iberia2.csv
Total;ES00125;0.0;Profile-Iberia2.csv
Total;ES00126;46146.410581288;Profile-Iberia2.csv
Total;ES00127;0.0;Profile-Iberia2.csv
Total;ES00128;21159.0543025;Profile-Iberia2.csv
Total;ES00129;34317.012373726;Profile-Iberia2.csv
Total;ES00130;0.0;Profile-Iberia2.csv
Total;ES00131;897686.2604557431;Profile-Iberia2.csv
Total;ES00132;28034.488844881;Profile-Iberia2.csv
Total;ES00134;17155.989974999997;Profile-Iberia2.csv
Total;ES00135;0.0;Profile-Iberia2.csv
Total;ES00136;0.0;Profile-Iberia2.csv
Total;ES00137;296085.166131073;Profile-Iberia2.csv
Total;ES00140;6473.5268839;Profile-Iberia2.csv
Total;ES00141;8783.8668672;Profile-Iberia2.csv
Total;ES00142;387811.839624474;Profile-Iberia2.csv
Total;ES00143;231080.89136926498;Profile-Iberia2.csv
Total;ES00144;1.25650013083834e6;Profile-Iberia2.csv
Total;ES00145;125421.037804301;Profile-Iberia2.csv
Total;ES00146;0.0;Profile-Iberia2.csv
Total;ES00147;406464.28941836;Profile-Iberia2.csv
Total;ES00148;0.0;Profile-Iberia2.csv
Total;ES00149;0.0;Profile-Iberia2.csv
Total;ES00150;47694.338370099;Profile-Iberia2.csv
Total;ES00151;318309.264291221;Profile-Iberia2.csv
Total;ES00152;74807.436180056;Profile-Iberia2.csv
Total;ES00153;0.0;Profile-Iberia2.csv
Total;ES00154;10842.5856642;Profile-Iberia2.csv
Total;ES00155;6610.7748037;Profile-Iberia2.csv
Total;ES00156;0.0;Profile-Iberia2.csv
Total;ES00157;14159.4103927;Profile-Iberia2.csv
Total;ES00158;0.0;Profile-Iberia2.csv
Total;ES00159;5741.5379783;Profile-Iberia2.csv
Total;ES00160;930.99838931;Profile-Iberia2.csv
Total;ES00161;10796.836357600001;Profile-Iberia2.csv
Total;ES00162;0.0;Profile-Iberia2.csv
Total;ES00163;20610.0626233;Profile-Iberia2.csv
Total;ES00164;122474.55371272801;Profile-Iberia2.csv
Total;ES00165;0.0;Profile-Iberia2.csv
Total;ES00166;11574.5745698;Profile-Iberia2.csv
Total;ES00167;12054.9422891;Profile-Iberia2.csv
Total;ES00168;0.0;Profile-Iberia2.csv
Total;ES00169;76950.104954667;Profile-Iberia2.csv
Total;ES00170;0.0;Profile-Iberia2.csv
Total;ES00171;100632.004769624;Profile-Iberia2.csv
Total;ES00172;798756.816131238;Profile-Iberia2.csv
Total;ES00173;0.0;Profile-Iberia2.csv
Total;ES00174;5.262690737204852e6;Profile-Iberia2.csv
Total;ES00175;12398.062088600002;Profile-Iberia2.csv
Total;ES00176;0.0;Profile-Iberia2.csv
Total;ES00177;746224.488588189;Profile-Iberia2.csv
Total;ES00178;85424.935255784;Profile-Iberia2.csv
Total;ES00179;0.0;Profile-Iberia2.csv
Total;ES00180;0.0;Profile-Iberia2.csv
Total;ES00181;71550.771789735;Profile-Iberia2.csv
Total;ES00182;24185.599680623;Profile-Iberia2.csv
Total;ES00183;0.0;Profile-Iberia2.csv
Total;ES00184;14616.903458699999;Profile-Iberia2.csv
Total;ES00185;0.0;Profile-Iberia2.csv
Total;ES00186;48266.204702599;Profile-Iberia2.csv
Total;ES00187;432655.76744686;Profile-Iberia2.csv
Total;ES00188;0.0;Profile-Iberia2.csv
Total;ES00189;409290.45283357496;Profile-Iberia2.csv
Total;ES00190;0.0;Profile-Iberia2.csv
Total;ES00191;538578.4507782409;Profile-Iberia2.csv
Total;ES00192;608292.616654519;Profile-Iberia2.csv
Total;ES00193;0.0;Profile-Iberia2.csv
Total;ES00194;24875.499224150997;Profile-Iberia2.csv
Total;ES00195;143210.198182645;Profile-Iberia2.csv
Total;ES00196;0.0;Profile-Iberia2.csv
Total;ES00197;224646.251395975;Profile-Iberia2.csv
Total;ES00198;216640.808980574;Profile-Iberia2.csv
Total;ES00199;74879.49133795101;Profile-Iberia2.csv
Total;ES00200;327592.713586493;Profile-Iberia2.csv
Total;ES00201;717268.379961851;Profile-Iberia2.csv
Total;ES00202;211532.89889868398;Profile-Iberia2.csv
Total;ES00203;0.0;Profile-Iberia2.csv
Total;ES00204;437127.990913543;Profile-Iberia2.csv
Total;ES00205;251321.070848704;Profile-Iberia2.csv
Total;ES00206;0.0;Profile-Iberia2.csv
Total;ES00207;0.0;Profile-Iberia2.csv
Total;ES00208;65984.91114877899;Profile-Iberia2.csv
Total;ES00209;502247.096434917;Profile-Iberia2.csv
Total;ES00210;0.0;Profile-Iberia2.csv
Total;ES00211;696505.972147573;Profile-Iberia2.csv
