Timestep,a_0,a_1,b
0,-26.480000394414219045,0,29687752567.291675568
0,-31.918045947109472849,-31.907782104734607742,29999003085.233692169
0,-21.950973926979916229,-39.802038426722212705,30209052722.590068817
0,-31.217119729167276176,-28.652361413082086727,30238897923.98481369
0,-41.37269982873659302,-34.313446452280146559,32005496938.304550171
0,-27.184902304079809454,-33.139396016246145393,31906907347.878604889
0,-29.864734037495843211,-31.240194757473325637,32382678070.119174957
0,-33.024231549820704856,-31.240194589847305906,32698300451.570789337
0,-31.173462922952118959,-31.240217419518405251,32683803777.428447723
0,-30.943633223951884759,-31.513980535319454646,32686874032.536655426
0,-29.816229548273209815,-32.5004023273149798,32708527724.68649292
0,-31.23520961180429012,-32.503999141044012333,32751231673.367458344
0,-30.395079736473107346,-31.260944534682728602,32757150505.772411346
0,-33.413142180079823618,-28.416348226828066714,32856924076.465103149
0,-31.067550077954145138,-28.752515293968741616,32840363616.614635468
0,-26.393799214293157007,-32.322160688771184311,32852980324.368812561
0,-35.088154877558650924,-33.56492146979530844,32935179552.641716003
0,-28.458530683500047331,-33.077149410242128624,32905418025.360691071
0,-29.054037342119169551,-30.657880873987227943,33083232451.836158752
0,-29.146942411082328306,-30.856296147284069775,33084840624.944900513
0,-36.920913565413677304,-32.101177802729132793,33216664776.746734619
0,-30.335839376095194098,-31.914502561007967785,33170594131.907440186
0,-27.672062045939924246,-31.190060908097940739,33341871046.533473969
0,-31.653693636087606222,-32.17862930275531852,33403663164.65164566
0,-31.113784227511626312,-32.128814329088427826,33399267497.309867859
0,-31.047551202184877184,-32.044238365612052633,33399302072.514095306
0,-31.162702752778713489,-31.26030408411534367,33411447376.093151093
0,-31.23439244343230925,-31.257224132524704885,33412401760.702224731
0,-31.36124632901329079,-31.254047911422357942,33414877810.619018555
0,-31.231774341696805664,-31.254047911422357942,33413831849.606128693
0,-31.230735338799131995,-31.254047911397314863,33413943418.051120758
1,-26.480000394414219045,0,29403420454.589244843
1,-31.918045947109472849,-31.907782104734607742,29685560585.319782257
1,-21.950973926979909123,-39.802038426722212705,29900618473.252719879
1,-31.217119729167269071,-28.652361413082100938,29925472844.052333832
1,-41.37269982873659302,-34.313446452280146559,31721626200.747104645
1,-18.560066178832620665,-32.425684631799704505,31504356462.909233093
1,-29.864734037495843211,-31.240194757473325637,32066996496.576225281
1,-33.024231549820704856,-31.240194589847305906,32388126487.987819672
1,-30.619779457986698645,-31.240224249335604156,32362019453.280071259
1,-29.669690263275686704,-31.681618696722217976,32360066234.980934143
1,-29.816229548273209815,-32.5004023273149798,32393075766.33348465
1,-31.23520961180429012,-32.503999141044012333,32435850259.665309906
1,-30.395079736473107346,-31.260944534682728602,32441498751.386581421
1,-33.413142180079823618,-28.416348226828066714,32550346602.971801758
1,-30.173503533359067319,-28.880648827719738847,32517393822.012577057
1,-26.393799214293157007,-32.322160688771184311,32539550271.657058716
1,-35.088154877558650924,-33.56492146979530844,32631769221.427207947
1,-28.458530683500043779,-33.077149410242142835,32590770270.785427094
1,-29.054037342119169551,-30.657880873987227943,32768381910.387947083
1,-29.158203631562692237,-30.880346483441257988,32769904911.840473175
1,-36.920913565413677304,-32.101177802729132793,32918656581.529518127
1,-27.837202193603385325,-31.843670602763424426,32829020433.343818665
1,-27.672062045939924246,-31.190060908097940739,33027389603.501907349
1,-31.653693636087606222,-32.17862930275531852,33089471106.668510437
1,-30.45870528958529988,-32.068373189289438585,33076368303.772315979
1,-30.220242299255861695,-31.860811480192207767,33075248461.265106201
1,-31.162702752778713489,-31.26030408411534367,33095833307.746822357
1,-31.23439244343230925,-31.257224132524704885,33096790655.624717712
1,-31.36124632901329079,-31.254047911422357942,33099633809.714035034
1,-31.132005579446747845,-31.254047911422357942,33097091960.373683929
1,-31.119004122694310155,-31.254047911412868643,33097171352.981685638
2,-26.480000394414219045,0,29103901140.667114258
2,-31.918045947109472849,-31.866279533760394571,29353980616.171642303
2,-21.950973926979894912,-39.802038426722212705,29577084217.631069183
2,-34.09862679299134669,-25.185129862875214712,29599356201.211040497
2,-41.37269982873659302,-34.313446452280146559,31418232693.189006805
2,-12.79038737348334287,-31.948239566388799915,31113347786.237346649
2,-29.864734037495843211,-31.240194757473325637,31733681820.893714905
2,-33.024231549820704856,-31.240194589847305906,32059713215.326992035
2,-24.105099985811879293,-31.240304609456007512,31939002128.194046021
2,-25.820274250197122967,-32.188163371661460133,31985149390.106830597
2,-29.816229548273209815,-32.5004023273149798,32059943204.073394775
2,-31.23520961180429012,-32.503999141044012333,32102382869.496318817
2,-30.395079736473107346,-31.260944534682728602,32108061425.82932663
2,-33.413142180079823618,-28.416348226828066714,32225613118.554729462
2,-23.969477991259978467,-29.769801323186971587,32105062564.808628082
2,-26.393799214293164113,-32.322160688771184311,32209518221.753002167
2,-35.088154877558650924,-33.56492146979530844,32309740047.123046875
2,-28.267898049258651128,-33.063123687229754921,32256944281.923316956
2,-29.054037342119169551,-30.657880873987227943,32436154315.15594101
2,-29.178364848874327464,-30.923404343335576527,32437579322.164169312
2,-36.920913565413677304,-32.101177802729132793,32601834913.761516571
2,-19.741535902817393122,-31.614172738612133173,32395004592.437679291
2,-27.672062045939924246,-31.190060908097940739,32695912033.938709259
2,-31.653693636087606222,-32.17862930275531852,32757162666.208694458
2,-27.554219582191027627,-31.800389566978971345,32704740112.22013092
2,-29.325094883161408887,-31.66234377128139954,32731112855.307071686
2,-31.162702752778713489,-31.26030408411534367,32762214500.466369629
2,-31.23439244343230925,-31.257224132524704885,32763154490.140602112
2,-31.36124632901329079,-31.254047911422357942,32766349037.171169281
2,-27.222805043855760943,-31.254047911422322414,32708778947.111568451
2,-28.990924282088915476,-31.254047911329504217,32736029880.624073029
3,-26.480000394414219045,0,28797266026.823616028
3,-31.918045947109472849,-31.77553607828088289,29014405877.360664368
3,-22.990383613902334758,-39.802038426722212705,29258766744.660953522
3,-34.09862679299134669,-25.185129862875214712,29271927255.444923401
3,-41.37269982873659302,-34.313446452280146559,31106903571.056884766
3,-12.811818651504982114,-31.948239566388799915,30792303775.210033417
3,-29.864734037495843211,-31.240194757473325637,31392397138.292118073
3,-33.024231549820704856,-31.240194589847305906,31723325738.755748749
3,-18.335113757995351591,-31.240395603436653005,31512809276.373317719
3,-24.161469193209558881,-32.457088609506726584,31627458308.451622009
3,-29.81622954827320271,-32.5004023273149798,31718816449.112060547
3,-31.23520961180429012,-32.503999141044012333,31760931058.230934143
3,-30.395079736473107346,-31.260944534682728602,31766657425.49571991
3,-33.413142180079823618,-28.416348226828066714,31892988668.484481812
3,-17.366889720250910045,-30.866645716677933109,31671947050.28565979
3,-26.393799214293181876,-32.322160688771184311,31871601850.97498703
3,-35.088154877558650924,-33.56492146979530844,31979703274.434234619
3,-27.550956004706073088,-33.010374951039686664,31909365625.042034149
3,-29.054037342119169551,-30.657880873987227943,32096007128.080474854
3,-29.218327261759927893,-31.008751172768981519,32097302059.989696503
3,-36.920913565413677304,-32.101177802729132793,32277070609.652271271
3,-13.513117001612824808,-31.435308079172866513,31975473933.281093597
3,-27.672062045939924246,-31.190060908097940739,32356567810.557567596
3,-31.653693636087606222,-32.17862930275531852,32416868208.186946869
3,-27.570376105273499689,-31.71274891329749579,32364241633.010967255
3,-29.115485937120492821,-31.615870300498841061,32387478007.28818512
3,-31.162702752778713489,-31.26030408411534367,32420634428.291652679
3,-31.23439244343230925,-31.257224132524704885,32421557622.467823029
3,-31.36124632901329079,-31.254047911422357942,32425102356.370948792
3,-19.936208857581174669,-31.254047911422222938,32253427133.149990082
3,-26.550466013018422018,-31.254047911189847042,32358920438.621742249
4,-26.480000394414219045,0,28528077845.395957947
4,-31.918045947109472849,-31.771577470813419097,28714178147.558002472
4,-24.155559140953517527,-39.802038426722212705,28977269779.164432526
4,-34.09862679299134669,-25.185129862875214712,28983701389.417682648
4,-41.37269982873659302,-34.313446452280146559,30834711272.360557556
4,-12.939273617714425413,-31.948239566388799915,30505366760.527992249
4,-29.864734037495843211,-31.240194757473325637,31090102065.218421936
4,-33.024231549820704856,-31.240194589847305906,31426288991.460945129
4,-19.66644732650830818,-31.240448044103136027,31235112555.707454681
4,-24.842787693806208438,-32.493718955184590413,31337718098.387050629
4,-31.132651893667095067,-32.501212433027752979,31434079884.543212891
4,-31.23520961180429012,-32.503999141044012333,31458793224.18391037
4,-30.395079736473107346,-31.260944534682728602,31464373002.159538269
4,-33.413142180079823618,-28.416348226828066714,31599633034.306827545
4,-18.154582998411182615,-31.266545431163443425,31388525987.322208405
4,-27.136061937928825927,-32.322160688771184311,31580715874.770385742
4,-35.088154877558650924,-33.56492146979530844,31688977264.6042099
4,-28.306077025510898437,-33.010374951039686664,31618113549.537269592
4,-29.054037342119169551,-30.657880873987227943,31794526769.021907806
4,-30.589636589922786669,-33.937425766723379184,31801507544.338214874
4,-36.920913565413677304,-32.101177802729154109,31991564255.437000275
4,-14.279619777346825416,-31.435308079172859408,31696906499.870586395
4,-27.672062045939924246,-31.190060908097940739,32055314389.798065186
4,-31.653693636087606222,-32.17862930275531852,32115908160.927444458
4,-27.385827787707818004,-31.59001163249245181,32059128042.386428833
4,-28.878723766189132505,-31.563376549439940533,32082257709.836223602
4,-31.162702752778713489,-31.26030408411534367,32118362294.027759552
4,-31.23439244343230925,-31.257224132524704885,32119286312.606498718
