Timestep,ES>PT,ES>FR,PT>FR
0,4367.85125592166969,-1775.0624800370869707,0
1,3740.9611269643792184,1296.8751736584308674,0
2,3308.7375283134979327,3443.1733060693368316,0
3,2773.6996822671712835,5652.8940000000002328,0
4,2416.9525266226669373,5652.8940000000002328,0
5,2210.322314512072353,5652.8940000000002328,0
6,2079.0438098666463702,5652.8940000000002328,0
7,1987.3811593339814863,5652.8940000000002328,0
8,1012.3296120718359816,5652.8940000000002328,0
9,11.458142420175136067,-5652.8940000000002328,0
10,-880.84846092016232433,-5652.8940000000002328,0
11,-2079.7672616833788197,-5652.8940000000002328,0
12,-2881.7995408146634873,-5652.8940000000002328,0
13,-3675.1227875789918471,-5652.8940000000002328,0
14,-3582.5925558128637931,2249.2300310310674831,0
15,-4010.3292399820074934,5652.8940000000002328,0
16,-3631.6163116911957331,5652.8940000000002328,0
17,-3301.7762498114279879,5652.8940000000002328,0
18,-2745.6993589446756232,5652.8940000000002328,0
19,-1096.5667370144401502,2418.370021986131178,0
20,59.319469178382860264,-836.40166776306068641,0
21,1093.7708573763920867,-2287.2555435157228203,0
22,2000.8039221620711032,-5652.8940000000002328,0
23,2837.5794719707937475,-5261.5399743711823248,0
24,2711.7874538181777098,-2960.0079446130685028,0
25,2641.2114709087172741,-643.8039733597470331,0
26,2426.8496904059911685,715.14428066390519234,0
27,2027.5657455252430736,2515.6970812339277472,0
28,1677.499993518618794,4142.0140077969845152,0
29,1728.4542298877886424,4746.3834163353722033,0
30,1757.8997670225762704,5617.550952323294041,0
31,2087.3048935954675471,5652.8940000000002328,0
32,1233.1431131819635993,5652.8940000000002328,0
33,215.51607619401511329,5652.8940000000002328,0
34,-1582.0320154862347408,708.90859264228492975,0
35,-2588.5954894451024302,-5652.8940000000002328,0
36,-2955.7149857633376087,-5652.8940000000002328,0
37,-3257.0790757744925941,-5652.8940000000002328,0
38,-3291.9439090858086274,-5652.8940000000002328,0
39,-3408.7952659680904617,5652.8940000000002328,0
40,-3943.4043236107609118,5652.8940000000002328,0
41,-3839.6321426328340749,5652.8940000000002328,0
42,-3314.8599448720651708,5652.8940000000002328,0
43,-1807.1477259889488778,1477.1087034852316719,0
44,-869.70239430062974861,-909.58429618140507955,0
45,147.5255026233735407,-1760.822303031471165,0
46,1678.5673710149685576,-5584.7795606570070959,0
47,2170.795472875816813,-4824.1751466836403779,0
48,1862.1795514910272686,-1765.4015687092105509,0
49,1766.0003377742659723,812.21825109956262168,0
50,1830.4139894755744535,2205.3307462147204205,0
51,1731.6888303105133673,3861.3837276504418696,0
52,1481.4058078244088392,5421.5566351691668388,0
53,1457.8277052326166086,5652.8940000000002328,0
54,1405.4236436861992843,5652.8940000000002328,0
55,1783.1062749503444138,5652.8940000000002328,0
56,536.43877747479018581,5652.8940000000002328,0
57,-715.04579338989424286,5652.8940000000002328,0
58,-2351.5971655558005295,3600.6023420941783115,0
59,-2664.126770702223439,-5652.8940000000002328,0
60,-2547.7751551226920128,-5652.8940000000002328,0
61,-2567.6639302164076071,-5652.8940000000002328,0
62,-3064.3979746955046721,-4890.5513729759259149,0
63,-3071.5487428486449062,5652.8940000000002328,0
64,-3230.9187227986894868,5652.8940000000002328,0
65,-2717.139860550112644,5652.8940000000002328,0
66,-1669.4045334386664763,5196.3169086007092119,0
67,-344.53512453324947273,226.20718673749070149,0
68,-290.86412415872473503,-1038.9934304614580469,0
69,-264.58220143715698214,-781.27236319654184626,0
70,1141.4909743243879348,-4792.8681947615004901,0
71,1148.3067023443491053,-3369.2513747313041677,0
72,1029.741230360429654,-283.44906785849252628,0
73,850.46932368316538486,2674.3386837141160868,0
74,810.63272093989871792,4463.5283146008914628,0
75,419.02269766505651205,5652.8940000000002328,0
76,96.393096074828463315,5652.8940000000002328,0
77,-145.98899620978954772,5652.8940000000002328,0
