Timestep,Reservoir_FR_0,Reservoir_ES_0,Hydro|pumped_storage_ES_0,Pumped Storage_FR_0,Lithium-Ion_FR_0,Lithium-Ion_PT_0
0,6055801.0988087300211,4923888.8403804153204,0,0,0,0
1,6075940.9723458476365,4925066.6167608303949,0,0,5708.4731331257380589,0
2,6096080.8458829652518,4926244.3931412454695,0,4623.3239239175809416,5708.4731331257380589,0
3,6116220.7194200828671,4927422.169521660544,0,14469.260576828502963,5708.4731331257380589,0
4,6136360.5929572004825,4928599.9459020756185,0,26539.641349258025002,5708.4731331257380589,0
5,6156500.4664943180978,4929777.722282490693,0,26539.641349258025002,18742.992556368808437,0
6,6176640.3400314357132,4930955.4986629057676,0,26539.641349258025002,38008.615424134375644,0
7,6196780.2135685533285,4932133.2750433208421,0,27325.163012011758838,63455.346159504668321,0
8,6216920.0871056709439,4933311.0514237359166,0,45870.670346351762419,76811.340633216954302,0
9,6237059.9606427885592,4934488.8278041509911,0,45870.670346351762419,132376.58056147108437,0
10,6257199.8341799061745,4935666.6041845660657,0,64416.177680691762362,172178.79439051821828,0
11,6277339.7077170237899,4936844.3805649811402,0,64416.177680691762362,239314.04526431229897,0
12,6297479.5812541414052,4938022.1569453962147,0,82961.685015031762305,285371.40077866788488,760.86297066562963209
13,6317619.4547912590206,4939199.9333258112893,0,101507.19234937176225,323802.43015343835577,3521.4489210761548748
14,6337759.3283283766359,4940377.7097062263638,0,101507.19234937176225,369764.12136215920327,5816.1192837317676094
15,6357899.2018654942513,4941555.4860866414383,0,101507.19234937176225,387909.01659999997355,6657.7073842343952492
16,6355559.0426854016259,4942733.2624670565128,0,101507.19234937176225,387909.01659999997355,6657.7073842343952492
17,6333781.8958925195038,4943911.0388474715874,0,101507.19234937176225,387909.01659999997355,6657.7073842343952492
18,6312004.7490996373817,4945088.8152278866619,0,101507.19234937176225,384448.31727114063688,6657.7073842343952492
19,6290227.6023067552596,4946266.5916083017364,0,80092.056859371761675,373366.81067892618012,5604.5366737730464592
20,6268450.4555138731375,4947444.3679887168109,0,80092.056859371761675,331316.92918908421416,5604.5366737730464592
21,6246673.3087209910154,4948622.1443691318855,0,80092.056859371761675,291301.88346516725142,5604.5366737730464592
22,6224896.1619281088933,4949799.92074954696,0,80092.056859371761675,246676.24801074326388,5604.5366737730464592
23,6203119.0151352267712,4950977.6971299620345,0,80092.056859371761675,203968.2078778455616,5604.5366737730464592
24,6181341.8683423446491,4952155.4735103771091,0,58676.921369371761102,196815.34813518711599,5604.5366737730464592
25,6159564.721549462527,4953333.2498907921836,0,58676.921369371761102,190411.57564870431088,3169.9035361317210118
26,6137787.5747565804049,4954511.0262712072581,0,58676.921369371761102,190411.57564870431088,3169.9035361317210118
27,6116010.4279636982828,4955688.8026516223326,0,58676.921369371761102,190411.57564870431088,3169.9035361317210118
28,6094233.2811708161607,4956866.5790320374072,0,58676.921369371761102,190411.57564870431088,3169.9035361317210118
29,6072456.1343779340386,4958044.3554124524817,0,58676.921369371761102,190411.57564870431088,3169.9035361317210118
30,6050678.9875850519165,4959222.1317928675562,0,58676.921369371761102,190411.57564870431088,3169.9035361317210118
31,6028901.8407921697944,4960399.9081732826307,0,58676.921369371761102,190411.57564870431088,3169.9035361317210118
32,6007124.6939992876723,4961577.6845536977053,0,58676.921369371761102,190411.57564870431088,3169.9035361317210118
33,6009861.818781811744,4962755.4609341127798,0,58676.921369371761102,190411.57564870431088,3169.9035361317210118
34,6030001.6923189293593,4963933.2373145278543,0,58676.921369371761102,192027.20591431079083,3169.9035361317210118
35,6050141.5658560469747,4965111.0136949429289,0,58676.921369371761102,206380.36400152163696,3169.9035361317210118
