Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66164.328812210034812,110971.81731163657969,97990.208493989630369,608041.80655274679884,317421.27366871212143,138610.08124579780269,83752.314952167187585,142797.69699341617525,77470.891330789629137,77470.891330789629137,514657.9753810671973,81239.745503616155474,119347.04880687331024,167085.86832954268903,48157.58109746107948,55276.527868422301253,170854.72250236922991,159548.15998388963635,156198.06738575495547,167504.62990433454979,204355.64848331618123,67839.375111277389806,114321.90990967128891,48995.104247044742806,200168.03273569777957,101759.06266691617202,54020.243144146777922,115159.43305925495224,71608.229284103916143,69933.182985036575701,56532.812592697810032,51507.67369559576764,75795.845031722288695,55695.289443214132916,171692.24565195289324,51507.67369559576764,53182.719994663122634,219.59295909585864592,875.1004903833473918,256.206026870838798,398.44727068435298634,878.0489918148086872,451.12555386517271927,610.9964553386425905,218.13448375068915652,137.22495144785631283,134.83365662452172273,442.56321660881678781,199.35148544369587853,96.345155214462309345,192.9066418361842068,343.0637188359480092
1,66190.192648909869604,111015.19653143642063,98028.513163489464205,608279.49193814664613,317545.35460681194672,138664.26434669765877,83785.053985967024346,142853.51704601602978,77501.174937089468585,77501.174937089468585,514859.156743767031,81271.502366415996221,119393.70193007314811,167151.18270194254001,48176.40604186092969,55298.135630722150381,170921.51013126908219,159610.52784328948474,156259.12568375479896,167570.10797193439794,204435.53172581602121,67865.893728677227045,114366.59869077113399,49014.256581844587345,200246.27902649762109,101798.84059301600792,54041.359820946621767,115204.44923075479164,71636.221158003754681,69960.520078236411791,56554.911440497657168,51527.80820139561547,75825.473857322125696,55717.060900713979208,171759.36067125273985,51527.80820139561547,53203.509281162972911,435.18061154477038599,1717.0175504193196048,504.62016795085963849,783.96093356814208164,1694.6196040878992335,882.07102066881930114,1170.5496896816223398,427.02583065157409692,271.46816408568741963,266.60690102691853554,869.28188853539131742,382.05641327466736357,190.9780945970417747,373.19373538736414275,666.99544689488470794
2,66216.056485609704396,111058.57575123636343,98066.817832989283488,608517.17732354614418,317669.43554491183022,138718.44744759739842,83817.793019766890211,142909.3370986157679,77531.458543389351689,77531.458543389366241,515060.33810646692291,81303.259229215924279,119440.35505327302963,167216.49707434230368,48195.23098626081628,55319.743393021970405,170988.29776016884716,159672.89570268924581,156320.18398175455513,167635.58603953412967,204515.41496831574477,67892.412346077064285,114411.28747187105182,49033.408916644300916,200324.5253172973753,101838.61851911588747,54062.476497746480163,115249.46540225468925,71664.213031903549563,69987.857171436189674,56577.010288297475199,51547.942707195434195,75855.102682921948144,55738.83235821386188,171826.47569055244094,51547.942707195448747,53224.298567662794085,638.73384385760925852,2492.2666842214907774,734.10326788534655407,1179.431266198535468,2409.3501111289815526,1317.3797069903284864,1679.2370248495683427,616.10600784036716959,406.85752336158265052,397.32799279494946632,1295.667187038859538,541.53505183086087982,285.37747520837638149,535.36455379924336739,977.94607752154854552
3,66241.92032230955374,111101.95497103620437,98105.122502489131875,608754.86270894599147,317793.51648301165551,138772.63054849725449,83850.532053566741524,142965.15715121562243,77561.742149689191137,77561.742149689205689,515261.51946916675661,81335.016092015765025,119487.00817647286749,167281.81144674215466,48214.055930660659214,55341.351155321812257,171055.08538906869944,159735.26356208909419,156381.24227975439862,167701.06410713397781,204595.29821081558475,67918.930963476916077,114455.97625297089689,49052.561251444145455,200402.77160809721681,101878.39644521573791,54083.593174546324008,115294.48157375452865,71692.204905803388101,70015.194264636040316,56599.109136097322335,51568.077212995282025,75884.731508521799697,55760.603815713708173,171893.59070985228755,51568.077212995296577,53245.087854162637086,827.55946615128220856,3230.5918509035477655,943.87578646749727795,1577.4935166247350935,3058.826879505758825,1774.1900806146622926,2179.3665643360664035,793.66691905412312735,546.63886562380241685,534.51730398526910903,1715.7317632993167535,683.6366071799909605,376.82042752635260285,682.62967393239046032,1268.5404864075439946
4,66267.784159009403083,111145.33419083604531,98143.427171988980263,608992.54809434583876,317917.5974211114808,138826.81364939711057,83883.271087366592837,143020.97720381547697,77592.025755989030586,77592.025755989045138,515462.70083186659031,81366.772954815605772,119533.66129967270535,167347.12581914200564,48232.880875060502149,55362.958917621654109,171121.87301796855172,159797.63142148894258,156442.30057775424211,167766.54217473382596,204675.18145331542473,67945.449580876767868,114500.66503407074197,49071.713586243989994,200481.01789889705833,101918.17437131558836,54104.709851346167852,115339.49774525436806,71720.196779703226639,70042.531357835890958,56621.20798389716947,51588.211718795129855,75914.360334121651249,55782.375273213554465,171960.70572915213415,51588.211718795144407,53265.877140662480087,1019.2418158513896742,3977.4141840169809257,1149.7841938157789627,1955.9550746143163451,3694.7585714937990815,2233.2259764603550138,2694.9142126711858509,974.18889868518954245,684.65313171633761158,676.08938583196743366,2107.4878634143738054,819.49565041218977512,463.38759128372186069,824.73551423486071599,1526.6723459571098829
5,66293.647995709252427,111188.71341063588625,98181.73184148882865,609230.23347974568605,318041.67835921130609,138880.99675029696664,83916.010121166444151,143076.7972564153315,77622.309362288870034,77622.309362288884586,515663.882194566424,81398.529817615446518,119580.31442287254322,167412.44019154185662,48251.705819460345083,55384.566679921495961,171188.660646868404,159859.99928088879096,156503.3588757540856,167832.0202423336741,204755.06469581526471,67971.96819827661966,114545.35381517058704,49090.865921043834533,200559.26418969689985,101957.95229741543881,54125.826528146011697,115384.51391675420746,71748.188653603065177,70069.8684510357416,56643.306831697016605,51608.346224594977684,75943.989159721502801,55804.146730713400757,172027.82074845198076,51608.346224594992236,53286.666427162323089,1225.6807603153238233,4757.10705541326206,1361.8875476247837923,2293.4582959879094233,4342.700259560446284,2664.7863636146407771,3216.8364550891701583,1160.755079873400291,814.30011482825250368,815.03718171896707645,2457.2913208929253415,953.04821992481640791,546.96988883427252404,965.90998914002045694,1750.7625088771119408
6,66319.511832409101771,111232.09263043571264,98220.0365109887789,609467.91886514553335,318165.75929731113138,138935.17985119685181,83948.74915496626636,143132.61730901521514,77652.592968588651274,77652.592968588665826,515865.0635572662577,81430.28668041533092,119626.96754607242474,167477.7545639416785,48270.530763860202569,55406.174442221410573,171255.44827576822718,159922.36714028861024,156564.41717375389999,167897.49830993352225,204834.94793831510469,67998.486815676442347,114590.04259627043211,49110.018255843708175,200637.51048049671226,101997.7302235152747,54146.943204945833713,115429.53008825404686,71776.180527502976474,70097.20554423557769,56665.405679496892844,51628.480730394854618,75973.617985321281594,55825.918188213188841,172094.93576775185647,51628.480730394890998,53307.45571366216609,1445.2543816432655603,5569.5801451671977702,1579.7788362288522421,2586.4372656926361742,4994.786049891015864,3051.598440773616403,3720.1271739904818787,1347.7565114562005419,933.29827970928602099,946.34122551319228478,2766.1396134262213309,1080.8855243407272155,629.97190908841821511,1103.9659546063403468,1946.5111568220938807
7,66345.375669108951115,111275.47185023555357,98258.34118048856908,609705.60425054538064,318289.84023541101487,138989.36295209667878,83981.488188766132225,143188.43736161506968,77682.87657488854893,77682.876574888534378,516066.2449199660914,81462.043543215128011,119673.6206692722335,167543.06893634152948,48289.355708260183746,55427.782204521237873,171322.23590466805035,159984.73499968842953,156625.47547175377258,167962.97637753334129,204914.83118081494467,68025.005433076337795,114634.73137737026263,49129.170590643516334,200715.75677129658288,102037.5081496151688,54168.059881745721214,115474.54625975391536,71804.172401402742253,70124.542637435428333,56687.504527296645392,51648.615236194629688,76003.246810921205906,55847.689645713027858,172162.05078705170308,51648.615236194658792,53328.245000161987264,1669.4868756245464283,6397.9629513109812251,1796.6971154234358892,2848.1605320621924875,5631.3404027753012997,3389.4048664605475096,4184.889102987910519,1526.5823545596069835,1042.2399566899966885,1069.2863266397512234,3041.1263437868519759,1196.8226248697169467,712.76637788852303856,1234.074616289582309,2123.3978022895880713
8,66371.239505808844115,111318.85107003545272,98296.645849988475675,609943.28963594522793,318413.92117351084016,139043.54605299659306,84014.22722256599809,143244.25741421492421,77713.160181188432034,77713.16018118840293,516267.42628266598331,81493.800406015056069,119720.27379247211502,167608.38330874135136,48308.180652659881162,55449.389966821116104,171389.02353356790263,160047.10285908830701,156686.53376975364517,168028.45444513318944,204994.71442331481376,68051.524050476131379,114679.42015847010771,49148.322925443273562,200794.0030620964535,102077.28607571501925,54189.176558545528678,115519.56243125375477,71832.164275302624446,70151.879730635293527,56709.603375096550735,51668.749741994484793,76032.875636520970147,55869.461103212917806,172229.16580635154969,51668.749741994579381,53349.034286661881197,1889.8315830190081215,7222.0830699741482022,2004.9333506594659866,3102.2359637153444964,6234.6600631079545565,3683.4040595998476419,4600.3573161023159628,1690.3596785205647848,1142.6763837458897797,1185.9458839658573197,3289.1557914789318602,1296.2773886305535598,793.86610953800095558,1353.1046615265236142,2288.270048826819675
9,66397.10334250878077,111362.23028983536642,98334.950519488396822,610180.97502134507522,318538.00211161072366,139097.72915389644913,84046.966256365805748,143300.07746681480785,77743.443787488358794,77743.44378748832969,516468.60764536581701,81525.557268814940471,119766.92691567195288,167673.69768114120234,48327.0055970597532,55470.997729120928852,171455.81116246778402,160109.4707184881845,156747.59206775348866,168093.93251273306669,205074.59766581465374,68078.042667875997722,114724.10893956996733,49167.4752602431181,200872.24935289626592,102117.06400181494246,54210.29323534543073,115564.57860275360872,71860.156149202477536,70179.216823835115065,56731.702222896383319,51688.884247794383555,76062.504462120836251,55891.232560712793202,172296.2808256513963,51688.884247794390831,53369.823573161716922,2100.4077665750983215,8024.7545718361143372,2198.7338492104049692,3359.4963852922028309,6792.0530957203545768,3953.4698895378801353,4963.1613560036093986,1835.2639974137832723,1235.6750576776878461,1298.9939949566321502,3516.0056644194928595,1376.9164116670942803,870.89841354569125542,1459.5750810794293102,2442.5179824811166327
