Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,661.66388806543807277,1171.1640975909092504,1034.159995602915842,6417.0953573924534794,3349.9712678128648804,1183.4463293999945108,883.89743212898815727,1507.0451218679245358,632.60512469931381929,817.60512469931381929,5431.5497206046302381,663.38050915711846756,1259.5538408638078636,1763.3753771293313548,508.2410234941681324,451.37230518113210564,1803.1507615871355483,1683.8246082137220583,1648.4687109845626765,1461.0493184000001747,2156.709734478730752,715.95692004048032686,933.51999492006871151,400.07999785145796068,2112.514862892281144,1073.9353800607207177,441.11384369519726079,1215.358969177358631,755.73230449828463406,738.05435588370494315,596.6307666670669505,420.59692082332776408,799.92717608473424207,587.79179240977703103,1060.0410198799313548,543.59692082332776408,561.27486943790734131,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
1,692.88595716543807157,1223.5302260909093093,1080.4002751029158844,6704.0222199924537563,3068.2622339999984433,1248.8545879999944646,923.4190385289881533,1574.4294608679244902,669.16261059931377986,854.16261059931377986,5674.4099921046299642,701.71646735711851761,1209.9525052000003598,1842.2209819293314013,530.96594719416816588,402.31479599999977381,1883.7748386871355706,1759.1132684137221531,1722.1765069845625931,1540.0925312000001668,2253.1424541787309863,747.96942124048030109,987.46698772006868694,412.32768951634699306,2206.9715022922810022,1121.9541318607207359,466.60527979519724795,1269.7011779773586113,789.5232779982845841,642.98863060000041969,623.30785096706699733,444.90270882332777092,835.6942298847342272,614.07366070977707295,1121.2995098799312927,497.88423999999986336,586.37108953790732357,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
2,724.10802626543807037,1177.3177284226360371,1126.6405546029159268,6990.9490825924540331,3218.0491222999985439,1314.2628465999944183,962.94064492898814933,1641.8137998679244447,705.72009649931374042,890.72009649931374042,5799.8846497729018665,740.05242555711856767,1266.2707944000003408,1921.0665867293314477,553.69087089416814251,428.39905619999979081,1964.3989157871355928,1834.401928613722248,1795.8843029845625097,1619.1357440000001588,2349.5751738787312206,779.98192244048027533,1041.4139805200686624,435.44782931634699708,2301.4281416922808603,1169.9728836607207541,492.09671589519723511,1324.0433867773585916,823.31425149828453414,675.98917200000039429,649.98493526706704415,469.20849682332777775,871.46128368473421233,640.35552900977711488,1182.5579998799312307,522.19002799999987019,611.46730963790730584,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
3,755.33009536543806917,1229.683856922636096,1172.8808341029159692,7277.87594519245431,3367.8360105999986445,1379.671105199994372,1002.4622513289881454,1709.1981388679243992,742.27758239931370099,927.27758239931370099,6042.7449212729015926,778.38838375711861772,1322.5890836000003219,1999.9121915293314942,576.41579459416811915,454.4833163999998078,2045.0229928871356151,1909.6905888137223428,1869.5920989845624263,1698.1789568000001509,2446.0078935787314549,811.99442364048024956,1095.3609733200687515,458.56796911634700109,2395.8847810922807184,1217.9916354607207722,517.58815199519722228,1378.385595577358572,857.10522499828448417,708.98971340000036889,676.66201956706709097,493.51428482332778458,907.22833748473419746,666.63739730977715681,1243.8164898799311686,546.49581599999987702,636.56352973790728811,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
4,786.55216446543806796,1282.0499854226361549,1219.1211136029160116,7564.8028077924545869,3517.622898899998745,1445.0793637999943257,1041.9838577289881414,1776.5824778679243536,778.83506829931366156,963.83506829931366156,6285.6051927729013187,816.72434195711866778,1378.907372800000303,2078.7577963293315406,599.14071829416809578,480.56757659999982479,2125.6470699871356373,1984.9792490137224377,1943.2998949845623429,1777.222169600000143,2542.4406132787316892,844.00692484048022379,1149.3079661200688406,481.68810891634700511,2490.3414204922805766,1266.0103872607207904,543.07958809519720944,1432.7278043773585523,890.89619849828443421,741.99025480000034349,703.3391038670671378,517.82007282332779141,942.99539128473418259,692.91926560977719873,1305.0749798799311066,570.80160399999988385,661.65974983790727038,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
5,817.77423356543806676,1334.4161139226362138,1031.361393102916054,7851.7296703924548638,3667.4097871999988456,1510.4876223999942795,1081.5054641289882511,1843.9668168679243081,815.39255419931362212,1000.3925541993136221,6528.4654642729010448,855.06030015711871783,1435.225662000000284,2157.6034011293313597,621.86564199416807242,506.65183679999984179,2206.2711470871354322,2060.2679092137223051,1776.4432309845881264,1856.265382400000135,2638.8733329787319235,876.01942604048019803,1203.2549589200689297,504.80824871634700912,2584.7980598922804347,1314.0291390607208086,568.5710241951971966,1487.0700131773585326,924.68717199828438424,774.99079620000031809,730.01618816706718462,542.12586082332779824,978.76244508473416772,719.20113390977724066,1366.3334698799310445,595.10739199999989069,686.75596993790725264,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
6,690.99630266543806556,1386.7822424226362727,1077.6016726029160964,8138.6565329924551406,3817.1966754999989462,1575.8958809999942332,1121.0270705289883608,1911.3511558679242626,851.95004009931358269,1036.9500400993135827,5606.0603388053723393,893.39625835711876789,1206.5439512000002651,2236.4490059293311788,529.59056569416804905,532.73609699999985878,1999.1795406000724142,2135.5565694137221726,1477.151026984588043,1935.3085952000001271,2735.3060526787321578,908.03192724048017226,1257.2019517200690188,527.92838851634701314,2679.2546992922802929,1119.0478908607208268,594.06246029519718377,1266.412221977358513,958.47814549828433428,807.9913376000002927,621.69327246706723145,566.43164882332780508,1014.5294988847341529,615.74438430231225539,1427.5919598799309824,496.41317999999989752,639.55669850000015231,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
7,722.21837176543806436,1174.1483709226363317,889.84195210291613876,7723.0043102587605972,3208.9835637999990468,1641.3041395999941869,960.54867692898835685,1978.735494867924217,703.50752599931365694,1073.5075259993136569,4619.9206103053720653,737.73221655711881795,977.86224040000013247,2013.7335986767834584,552.31548939416802568,558.82035719999987577,1671.8036177000724365,1918.6700969999992594,1177.858822984588187,1614.3518080000001191,2831.7387723787323921,778.04442844048014649,1311.148944520069108,551.04852831634696031,2295.711338692280151,1167.066642660720845,490.55389639519717093,1320.7544307773584933,821.26911899828428432,840.9918790000002673,648.37035676706727827,467.73743682332781191,1050.2965526847342517,642.02625260231229731,1178.8504498799309204,520.71896799999990435,664.65291860000013457,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
8,595.44044086543806316,961.51449942263639059,702.08223160291618115,6557.9311728587608741,2600.7704520999991473,1375.7123981999941407,800.07028332898835288,1705.5653159088142274,555.06501189931373119,925.06501189931373119,4795.8111089998819807,665.63254339999991771,749.18052960000011353,1693.5792034767835048,460.04041309416800232,452.90461739999983592,1752.4276948000724587,1612.9587571999993543,878.56661898458821724,1693.3950208000001112,2440.1714920787326264,648.05692964048012072,1092.0959373200691971,457.16866811634696433,2390.1679780922800092,972.08539446072086321,516.0453324951971581,1100.0966395773584736,757.7173445000000811,706.9924204000002419,675.04744106706732509,492.04322482332781874,905.0636064847342368,535.30812090231233924,1136.2961799999493451,422.02475599999991118,562.74913870000011684,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
9,609.56038509383199653,748.88062792263644951,748.32251110291622354,5392.8580354587611509,1992.5573403999992479,1441.1206567999940944,725.74072320000004765,1431.9496549088141819,591.62249779931369176,856.31016920000024584,3809.6713804998826163,509.96850159999991092,805.4988188000000946,1772.4248082767835513,482.76533679416797895,346.98887759999985292,1425.051771900072481,1307.2474173999994491,579.27441498458824753,1772.4382336000001033,2048.6042117787328607,680.06943084048009496,1146.0429301200692862,480.28880791634696834,2006.6246174922798673,1020.1041462607208814,412.53676859519714526,879.43884837735845394,620.50831800000003113,739.9929618000002165,566.72452536706737192,393.34901282332782557,940.83066028473422193,428.58998920231232432,1197.554669999949283,323.33054399999991801,587.84535880000009911,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
