Timestep,Node_0
0,24000.204370000006747
1,22934.504350000042905
2,21851.704189999985829
3,21492.304009999970731
4,21462.103879999980563
5,21875.603960000011284
6,23947.604760000038368
7,26246.104810000018915
8,28507.105470000038622
9,31600.305959999994229
10,34059.106270000011136
11,36382.306930000049761
12,37615.107080000008864
13,37924.8071299999865
14,38682.907219999928202
15,39077.407200000008743
16,38880.807219999987865
17,37869.607260000026145
18,36428.806909999984782
19,34303.906559999981255
20,32625.206090000017866
21,30800.505909999988944
22,30077.205470000008063
23,28646.605649999979505
