Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66006.328812210194883,110706.81731163673976,97990.208493989790441,606589.80655274691526,317421.27366871229606,138279.08124579794821,83552.314952167347656,142797.69699341632077,77470.891330789789208,77470.891330789789208,514186.04838106734678,81045.745503616315546,119062.04880687347031,166686.86832954283454,48157.581097461232275,55144.527868422454048,170446.72250236937543,159167.15998388978187,155825.06738575510099,167104.62990433469531,203867.64848331632675,67677.375111277549877,114048.90990967144899,48878.104247044895601,199690.03273569792509,101516.06266691633209,53891.243144146930717,114884.43305925511231,71437.229284104076214,69766.182985036735772,56397.812592697962828,51384.673695595920435,75614.845031722448766,55562.289443214285711,171282.24565195303876,51384.673695595920435,53055.719994663275429,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
1,65885.624668910197215,110750.19653143674077,98028.513163489784347,605375.49193814687897,316787.35460681229597,138333.2643466979498,83585.053985967344488,142853.51704601632082,77501.174937089788727,77501.174937089788727,514387.2297437673551,81077.502366416316363,119108.70193007346825,166353.18270194283105,48176.406041861235281,55034.135630722455971,170105.51013126937323,158848.52784328977577,155513.12568375508999,166770.10797193468898,203459.53172581631225,67541.893728677547188,113820.59869077145413,48780.256581844892935,199290.27902649791213,101312.84059301632806,53783.359820946927357,114654.44923075511178,71294.221158004074823,69626.520078236731933,56284.911440497962758,51281.80820139592106,75463.473857322445838,55451.060900714284799,170939.36067125303089,51281.80820139592106,52949.509281163278501,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
2,65911.488505610192078,110793.57575123674178,98066.817832989778253,604161.17732354684267,316911.43554491229588,138056.4474475979514,83617.79301976734132,142568.33709861632087,77531.458543389788247,77531.458543389788247,514588.41110646736342,81109.259229216317181,118870.35505327346618,166019.49707434282755,48195.230986261238286,54923.743393022457894,169764.29776016937103,158529.89570268976968,155201.183981755079,166435.58603953468264,203051.41496831629775,67568.412346077544498,113592.28747187145927,48682.408916644890269,198890.52531729789916,101109.61851911632402,53675.476497746923997,114424.46540225511126,71151.213031904073432,69486.857171436728095,56172.010288297962688,51178.942707195921685,75312.102682922442909,55339.832358214283886,171006.47569055302301,51178.942707195921685,52843.298567663281574,9420,36870,11340,17160,40140,19710,28950.517370340014168,10020,6000,5610,20010,9960,3990,9780,16380
3,65779.352342310186941,110836.95497103674279,98105.12250248977216,602946.86270894680638,316277.51648301229579,138110.63054849795299,83650.532053567338153,142624.15715121632093,77561.742149689787766,77561.742149689787766,514653.08608115353854,81141.016092016317998,118917.00817647346412,165685.81144674282405,48214.055930661241291,54813.351155322459817,169423.08538906936883,158211.26356208976358,155262.24227975506801,166101.06410713467631,203131.29821081628324,67432.930963477541809,113363.97625297146442,48584.561251444887603,198490.7716080978862,100906.39644521631999,53567.593174546920636,114194.48157375511073,71008.204905804072041,69347.194264636724256,56059.109136097962619,51076.077212995922309,75160.731508522439981,55228.603815714282973,171073.59070985301514,51076.077212995922309,52737.087854163284646,9420,36870,11340,17160,40140,19710,28950.517370340014168,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
4,65647.216179010181804,110615.3341908367438,98116.838141989705036,603184.54809434677009,316401.59742111229571,137833.81364939795458,83683.271087367334985,142679.97720381632098,77592.025755989787285,77592.025755989787285,513625.26744385354687,81172.772954816318816,118678.66129967346205,165352.12581914282055,48232.880875061244296,54702.95891762246174,169081.87301796936663,157892.63142148975749,154950.30057775505702,165766.54217473466997,203211.18145331626874,67459.44958087753912,113135.66503407146956,48486.713586244884937,198091.01789889787324,100703.17437131631596,53459.709851346917276,113964.4977452551102,70865.19677970407065,69207.531357836720417,55946.207983897962549,50973.211718795922934,75009.360334122437052,55117.375273214282061,171140.70572915300727,50973.211718795922934,52630.877140663287719,9420,36870,11340,17160,40140,19710,28950.517370340014168,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
5,65673.080015710176667,110658.71341063674481,98155.142811489698943,601970.23347974673379,316525.67835921229562,137556.99675029795617,83716.010121167331818,142735.79725641632103,77622.309362289786804,77622.309362289786804,513004.95664655353175,81204.529817616319633,118440.31442287345999,165018.44019154281705,48251.705819461247302,54592.566679922463663,168740.66064686936443,157573.99928088975139,154638.35887575504603,165432.02024233466364,203291.06469581625424,67485.96819827753643,112907.35381517147471,48388.865921044882271,197691.26418969786027,100499.95229741631192,53351.826528146913915,113734.51391675510968,70722.188653604069259,69067.868451036716579,55833.30683169796248,50870.346224595923559,74857.989159722434124,55006.146730714281148,171207.8207484529994,50870.346224595923559,52524.666427163290791,9420,36870,11340,17160,40140,19710,28950.517370340014168,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
6,65698.94385241017153,110702.09263043674582,98193.447480989692849,600755.9188651466975,316649.75929731229553,137280.17985119795776,83748.74915496732865,142450.61730901632109,77652.592968589786324,77652.592968589786324,512499.88567925360985,81236.286680416320451,118201.96754607345792,164684.75456394281355,48270.530763861250307,54482.174442222465586,168399.44827576936223,157255.36714028974529,154699.41717375503504,165097.4983099346573,203370.94793831623974,67350.486815677533741,112679.04259627147985,48291.018255844879604,197291.51048049784731,100296.73022351630789,53243.943204946910555,113504.53008825510915,70579.180527504067868,68928.20554423671274,55720.40567949796241,50767.480730395924184,74706.617985322431196,54894.918188214280235,171274.93576775299152,50767.480730395924184,52418.455713663293864,9420,36870,11340,17160,40140,19710,28950.517370340014168,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
7,65724.807689110166393,110745.47185023674683,97997.752150489686755,599541.60425054666121,316773.84023541229544,137334.36295209795935,83781.488188767325482,142506.43736161632114,77682.876574889785843,77682.876574889785843,511472.06704195361817,81268.043543216321268,118248.62066927345586,164750.06893634281005,48289.355708261253312,54371.782204522467509,168058.23590466936002,156936.7349996897392,154387.47547175502405,165162.97637753465096,203450.83118081622524,67377.005433077531052,112450.731377371485,48193.170590644876938,196891.75677129783435,100093.50814961630385,53136.059881746907195,113274.54625975510862,70436.172401404066477,68788.542637436708901,55607.504527297962341,50664.615236195924808,74736.246810922428267,54783.689645714279322,171342.05078705298365,50664.615236195924808,52312.245000163296936,9420,36870,11340,17160,40140,19710,29096.349129040016123,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
8,65750.671525810161256,110788.85107003674784,98036.056819989680662,598813.26457594661042,316897.92117351229535,137057.54605299796094,83814.227222567322315,142562.25741421632119,77713.160181189785362,77713.160181189785362,511673.24840465362649,81299.800406016322086,118010.2737924734538,164815.38330874280655,48308.180652661256318,54393.389966822469432,167717.02353356935782,156618.1028590897331,154448.53376975501305,165228.45444513464463,203530.71442331621074,67403.524050477528363,112222.42015847149014,48095.322925444874272,196492.00306209782138,99890.28607571629982,53028.176558546903834,113044.56243125510809,70293.164275304065086,68648.879730636705062,55494.603375097962271,50561.749741995925433,74584.875636522425339,54672.46110321427841,171409.16580635297578,50561.749741995925433,52206.034286663300009,9420,36870,11340,17160,40140,19710,29096.349129040016123,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
9,65776.535362510156119,110832.23028983674885,98074.361489489674568,599050.94996134657413,317022.00211161229527,137111.72915389796253,83846.966256367319147,142618.07746681632125,77743.443787489784881,77743.443787489784881,511874.42976735363482,81331.557268816322903,117771.92691567345173,164880.69768114280305,48327.005597061259323,54414.997729122471355,167375.81116246935562,156652.31934848977835,154136.59206775500206,165293.93251273463829,203610.59766581619624,67430.042667877525673,111994.10893957149528,47997.475260244871606,196092.24935289780842,99687.064001816295786,52920.293235346900474,112814.57860275510757,70150.156149204063695,68509.216823836701224,55381.702222897962201,50458.884247795926058,74614.50446212242241,54561.232560714277497,171476.28082565296791,50458.884247795926058,52099.823573163303081,9420,36870,11340,17160,40140,19710,29096.349129040016123,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
10,65802.399199210150982,110875.60950963674986,98112.666158989668475,599288.63534674653783,317146.08304971229518,137165.91225479796412,83879.705290167315979,142673.8975194163213,77773.727393789784401,77773.727393789784401,511799.54659005359281,81363.314131616323721,117533.58003887344967,164946.01205354279955,48345.830541461262328,54436.605491422473278,167034.59879136935342,156714.68720788977225,154197.65036575499107,165359.41058033463196,203690.48090831618174,67456.561285277522984,111765.79772067150043,48016.62759504486894,195692.49564369779546,99483.841927916291752,52812.409912146897113,112584.59477425510704,70178.148023104062304,68369.553917036697385,55268.801070697962132,50479.018753595926682,74463.133287722419482,54450.004018214276584,171543.39584495296003,50356.018753595926682,51993.612859663306153,9420,36870,11340,17160,40140,19710,29096.349129040016123,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
11,65828.263035910145845,110918.98872943675087,98150.970828489662381,599526.32073214650154,317270.16398781229509,136889.09535569796572,83912.444323967312812,142729.71757201632136,77804.01100008978392,77804.01100008978392,512000.72795275360113,81395.070994416324538,117295.2331620734476,165011.32642594279605,48364.655485861265333,54458.213253722475201,167101.38642026935122,156777.05506728976616,154258.70866375498008,165424.88864793462562,203770.36415081616724,67483.079902677520295,111810.48650177150557,48035.779929844866274,195292.74193449778249,99280.619854016287718,52704.526588946893753,112629.61094575510651,70206.139897004060913,68396.891010236693546,55155.899918497962062,50376.153259395927307,74492.762113322416553,54471.775475714275672,171610.51086425295216,50253.153259395927307,52014.402146163309226,9420,36870,11340,17360.70816092005407,40140,19710,29930.307129040014843,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
12,65854.126872610140708,110962.36794923675188,98189.275497989656287,599764.00611754646525,317394.244925912295,136943.27845659796731,83945.183357767309644,142785.53762461632141,77834.294606389783439,77834.294606389783439,512201.90931545360945,81426.827857216325356,117056.88628527344554,165076.64079834279255,48383.480430261268339,54479.821016022477124,167168.17404916934902,156839.42292668976006,154319.76696175496909,165490.36671553461929,203850.24739331615274,67509.598520077517605,111692.26887973060366,48054.932264644863608,195370.98822529776953,99077.397780116283684,52725.643265746890393,112674.62711725510599,70234.131770904059522,68424.228103436689707,55042.998766297961993,50273.287765195927932,74341.390938922413625,54360.546933214274759,171677.62588355294429,50150.287765195927932,51908.191432663312298,9420,36870,11667.347999999999956,17732,41298.707999999998719,19710,29930.307129040014843,10020,6000,5610,20010,9960,3990,9823.683999999999287,16380
13,65879.990709310135571,111005.74716903675289,98227.580167489650194,600001.69150294642895,317518.32586401229491,136997.4615574979689,83977.922391567306477,142841.35767721632146,77864.578212689782958,77864.578212689782958,512403.09067815361777,81458.584720016326173,117103.53940847344347,165141.95517074278905,48402.305374661271344,54501.428778322479047,167234.96167806934682,156901.79078608975396,154380.8252597549581,165555.84478313461295,203930.13063581613824,67536.117137477514916,111736.9576608306088,48074.084599444860942,194971.23451609775657,98874.17570621627965,52746.759942546887032,112719.64328875510546,70262.123644804058131,68451.565196636685869,54930.097614097961923,50293.422270995928557,74190.019764522410696,54382.318390714273846,171744.74090285293642,50047.422270995928557,51928.980719163315371,9420,36870,11667.347999999999956,17732,41298.707999999998719,19710,30047.816253819997655,10309.244000000000597,6173.1999999999998181,5610,20010,10247.512000000000626,4105.1779999999998836,9823.683999999999287,16852.835999999999331
14,65905.854546010130434,111049.1263888367539,98265.8848369896441,600239.37688834639266,317642.40680211229483,137051.64465839797049,84010.661425367303309,142897.17772981632152,77894.861818989782478,77894.861818989782478,512604.27204085362609,81490.341582816326991,117150.19253167344141,165207.26954314278555,48421.130319061274349,54523.03654062248097,167301.74930696934462,156964.15864548974787,154441.88355775494711,165621.32285073460662,204010.01387831612374,67562.635754877512227,111781.64644193061395,48093.236934244858276,194921.66187470388832,98913.953632316275616,52767.876619346883672,112764.65946025510493,70290.11551870405674,68478.90228983668203,54952.196461897961854,50313.556776795929181,74038.648590122407768,54404.089848214272934,171811.85592215292854,50067.556776795929181,51949.770005663318443,9420,36870,11667.347999999999956,17732,41298.707999999998719,19710,30231.137699999904726,10309.244000000000597,6173.1999999999998181,5610,20010,10247.512000000000626,4105.1779999999998836,10106,16852.835999999999331
15,65931.718382710125297,111092.50560863675491,98304.189506489638006,600477.06227374635637,317766.48774021229474,136774.82775929797208,84043.400459167300141,142952.99778241632157,77925.145425289781997,77925.145425289781997,512805.45340355363442,81522.098445616327808,116911.84565487343934,165272.58391554278205,48439.955263461277355,54412.644302922482893,166960.53693586934241,157026.52650488974177,154502.94185575493611,165686.80091833460028,204089.89712081610924,67589.154372277509538,111826.33522303061909,48112.38926904485561,194521.90816550387535,98710.731558416271582,52659.993296146880311,112566.75691175505926,70318.107392604055349,68506.239383036678191,54839.295309697961784,50210.691282595929806,73887.277415722404839,54425.861305714272021,171878.97094145292067,49964.691282595929806,51843.559292163321516,9420,36870,11667.347999999999956,17732,41298.707999999998719,19710,30231.137699999904726,10309.244000000000597,6173.1999999999998181,5610,20010,10247.512000000000626,4105.1779999999998836,10106,16852.835999999999331
