Timestep,Node_0
0,34834.93618000002607
1,35275.131160000040836
2,32492.999259999982314
3,29452.584329999954207
4,27095.231770000027609
5,25510.784290000003239
6,23726.596149999964837
7,21859.730789999997796
8,20624.596610000004148
9,20848.577829999994719
10,22742.283699999967212
11,25160.247659999997268
12,25212.480610000020533
13,25797.773429999990185
14,25622.592680000005203
15,25216.674010000075214
16,24683.990999999972701
17,24467.066750000005413
18,24769.191139999991719
19,25160.234219999987545
20,25269.697209999976621
21,25941.914580000007845
22,29305.975610000019515
23,29726.806700000026467
