Timestep,Node_0
0,22452.004239999987476
1,21600.004000000000815
2,21196.0040200000185
3,21260.003870000018651
4,22340.004340000024968
5,24924.004549999976007
6,27340.005259999965347
7,28616.005549999954383
8,29004.005510000020877
9,29220.005340000006981
10,29332.005550000023504
11,29592.005669999980455
12,29964.00561000003654
13,29370.171429999994871
14,28949.685209999992367
15,29301.525069999948755
16,29829.790640000002895
17,30388.562300000005052
18,30776.005789999962872
19,31165.41591000000335
20,31239.627079999980197
21,28625.005559999986872
22,26909.005139999972016
23,25427.004860000037297
