Timestep,Node_0
0,21576.004210000002786
1,20620.003939999958675
2,20024.003630000002886
3,19752.003759999995964
4,19944.003699999993842
5,21380.004079999998794
6,24996.00465000000986
7,29288.005409999994299
8,30448.005719999953726
9,30639.257739999997284
10,30244.027279999947496
11,29668.066140000009909
12,29918.458530000028986
13,29713.384490000029473
14,29776.829789999999775
15,30030.19318999999814
16,30154.236010000007809
17,31954.006029999974999
18,32722.006150000004709
19,33205.006430000044929
20,32991.00606999998854
21,30137.005800000020827
22,26951.005080000009912
23,25168.004699999990407
