Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,14103.769318719212606,23655.056135772731068,20887.860889695541118,129611.85475150567072,67736.742113466010778,29546.504079004807863,18052.872555285081035,30780.147706849060341,16698.907113618697622,16513.907113618697622,110934.90185239879065,17317.286378618529852,25440.343391361235263,35616.480747825735307,10380.401719308920292,11782.895886464149953,36419.860012825556623,34009.722217826070846,33668.607315670677053,35705.745110570162069,44049.009034979593707,14460.826769796914959,24369.171038028132898,10443.930444897769121,42668.365407235331077,21691.240154695369711,11515.102798130874362,24547.699763516986422,15264.206034796739914,14907.14858371903938,12050.688974797427363,10979.516621564323941,16156.849662540997087,11872.160249308577477,27671.952460771866754,10979.516621564323941,11336.574072642024475,9691.9239999999990687,36870,11340,17538.473661919910228,40140,19710,28890,10020,6000,5610,20010,9960,3990,10062.316000000000713,16380
1,13976.991387819212832,23442.422264272732718,20700.101169195542752,129898.78161410566827,67128.529001766015426,29280.912337604808272,17892.394161685082508,30506.532045849060523,16550.464599518698378,16365.464599518698378,111177.7621238987922,17161.622336818531039,25211.661680561235698,35296.326352625736035,10403.126643008919928,11676.980146664149288,36500.484089925557782,33704.010878026070714,33369.315111670679471,35384.788323370165017,43657.441754679595761,14330.839270996915729,24423.11803082813276,10350.0505846977685,42284.82204663533048,21496.258906495368137,11411.594234230873553,24327.041972316987085,15126.997008296739295,14773.149125119040036,11942.366059097426842,10880.822409564323607,16011.6167163409973,11765.442117608577973,27423.210950771866919,10880.822409564323607,11234.670292742024685,9691.9239999999990687,36870,11340,17538.473661919910228,40140,19710,28890,10309.244000000000597,6000,5610,20298.479148800051917,9960,3990,10062.316000000000713,16852.835999999999331
2,13850.213456919213058,23229.788392772734369,20512.341448695544386,128733.70847670566582,66520.315890066020074,29015.32059620480868,17931.915768085083982,30573.916384849060705,16402.022085418699135,16217.022085418699135,110191.62239539879374,17005.958295018532226,24982.979969761236134,34976.171957425736764,10425.851566708919563,11571.064406864148623,36173.108167025558942,33779.299538226070581,33443.022907670681889,35063.831536170167965,43753.874474379597814,14362.8517721969165,24477.065023628132622,10373.170724497767878,41901.278686035329883,21301.277658295366564,11308.085670330872745,24106.384181116987747,14989.787981796738677,14639.149666519040693,11834.04314339742632,10782.128197564323273,15866.383770140997512,11658.72398590857847,27174.469440771867085,10782.128197564323273,11132.766512842024895,9691.9239999999990687,36870,11340,17538.473661919910228,41298.707999999998719,20278.961999999999534,28890,10309.244000000000597,6173.1999999999998181,5610,20298.479148800051917,10138.885324640001272,4105.1779999999998836,10344.632000000001426,16852.835999999999331
3,13723.435526019213285,23017.154521272736019,20324.58172819554602,129020.63533930566336,66670.102778366024722,28749.728854804809089,17771.437374485085456,30300.300723849060887,16253.579571318699891,16068.579571318699891,109205.48266689879529,16850.294253218533413,24754.29825896123657,34656.017562225737493,10333.576490408919199,11465.148667064147958,36069.599154125571658,33473.588198426070448,33143.730703670684306,34742.874748970170913,43362.307194079599867,14232.86427339691727,24258.012016428132483,10279.290864297767257,41995.735325435329287,21106.29641009536499,11204.577106430871936,23885.72638991698841,14852.578955296738059,14505.15020791904135,11725.720227697425798,10683.433985564322938,15721.150823940997725,11552.005854208578967,26925.72793077186725,10683.433985564322938,11030.862732942025104,9691.9239999999990687,37934.313999999998487,11667.347999999999956,17538.473661919910228,42457.415999999997439,20278.961999999999534,28890,10309.244000000000597,6173.1999999999998181,5610,20298.479148800051917,10138.885324640001272,4105.1779999999998836,10344.632000000001426,16852.835999999999331
4,13596.657595119213511,22804.52064977273767,20136.822007695547654,128648.62686190567911,66061.88966666602937,28484.137113404809497,17610.95898088508693,30026.685062849061069,16105.137057218700647,15920.137057218700647,109448.34293839879683,16694.6302114185346,24525.616548161237006,34335.863167025738221,10241.301414108918834,11359.232927264147293,36150.223231225572817,33167.876858626070316,32844.438499670686724,34421.917961770173861,43458.73991377960192,14102.87677459691804,24038.959009228132345,10185.411004097766636,42090.19196483532869,20911.315161895363417,11101.068542530871127,23665.068598716989072,14715.36992879673744,14371.150749319042006,11617.397311997425277,10584.739773564322604,15575.917877740997938,11445.287722508579463,26676.986420771867415,10584.739773564322604,10928.958953042025314,9691.9239999999990687,37934.313999999998487,11994.695999999999913,18033.82566191990918,42457.415999999997439,20278.961999999999534,28890,10598.488000000001193,6173.1999999999998181,5610,20876.101148800051305,10426.397324640001898,4105.1779999999998836,10626.948000000002139,16852.835999999999331
5,13469.879664219213737,22591.886778272739321,19949.062287195549288,128935.55372450567666,66211.676554966034018,28218.545372004809906,17450.480587285088404,29753.069401849061251,15956.694543118701404,15771.694543118701404,109691.20320989879838,16538.966169618535787,24296.934837361237442,34015.70877182573895,10149.02633780891847,11253.317187464146627,36230.847308325573977,32862.165518826070183,32545.146295670685504,34100.961174570176809,43422.434493479617231,13972.88927579691881,23819.906002028132207,10091.531143897766015,41706.648604235328094,20716.333913695361844,10997.559978630870319,23444.410807516989735,14578.160902296736822,14237.151290719042663,11509.074396297424755,10486.04556156432227,15430.68493154099815,11338.56959080857996,26428.24491077186758,10486.04556156432227,10827.055173142025524,9691.9239999999990687,37934.313999999998487,11994.695999999999913,18033.82566191990918,42457.415999999997439,20278.961999999999534,28890,10598.488000000001193,6173.1999999999998181,5610,20876.101148800051305,10426.397324640001898,4105.1779999999998836,10909.264000000002852,17325.671999999998661
6,13343.101733319213963,22379.252906772740971,19761.302566695550922,127770.4805871056742,65603.463443266038666,27952.953630604810314,17290.002193685089878,29479.453740849061433,15808.25202901870216,15623.25202901870216,108705.06348139879992,16383.302127818535155,24068.253126561237877,33695.554376625739678,10056.751261508918105,11147.401447664145962,35903.471385425575136,32556.454179026070051,32245.854091670684284,33780.004387370179757,43030.867213179619284,13842.90177699691958,23600.852994828132069,9997.6512836977653933,41323.105243635327497,20521.35266549536027,10894.05141473086951,23223.753016316990397,14440.951875796736203,14103.15183211904332,11400.751480597424234,10387.351349564321936,15285.451985340998363,11231.851459108580457,26179.503400771867746,10387.351349564321936,10725.151393242025733,9691.9239999999990687,38759.337252840014116,11994.695999999999913,18033.82566191990918,42457.415999999997439,20278.961999999999534,28890,10598.488000000001193,6173.1999999999998181,5771.9420000000000073,20876.101148800051305,10426.397324640001898,4105.1779999999998836,10909.264000000002852,17325.671999999998661
7,13216.323802419214189,22166.619035272742622,19573.542846195552556,126605.40744970567175,64995.250331566036039,27687.361889204810723,17129.523800085091352,29205.838079849061614,15659.809514918702916,15474.809514918702916,107718.92375289880147,16227.638086018534523,23839.571415761238313,33375.399981425740407,9964.476185208917741,11041.485707864145297,35576.095462525576295,32250.742839226069918,31946.561887670683063,33459.047600170182704,42639.299932879621338,13712.91427819692035,23381.79998762813193,9903.771423497764772,40939.5618830353269,20326.371417295358697,10790.542850830868701,23003.09522511699106,14303.742849296735585,13969.152373519043977,11292.428564897423712,10288.657137564321602,15140.219039140998575,11125.133327408580953,25930.761890771867911,10288.657137564321602,10623.247613342025943,9691.9239999999990687,38759.337252840014116,11616.695999999999913,18033.82566191990918,41119.415999999997439,20278.961999999999534,28185.084000000002561,10264.488000000001193,5973.1999999999998181,5771.9420000000000073,20876.101148800051305,10426.397324640001898,4105.1779999999998836,10583.264000000002852,17036.921689999933733
8,13089.545871519214415,21953.985163772744272,19385.78312569555419,125440.3343123056693,64387.037219866033411,27421.770147804811131,16969.045406485092826,28932.222418849061796,15511.367000818703673,15326.367000818703673,106732.78402439880301,16071.974044218533891,23610.889704961238749,33055.245586225741135,9872.2011089089173765,10935.569968064144632,35248.719539625577454,31945.031499426069786,31647.269683670681843,33138.090812970185652,42247.732652579623391,13582.92677939692112,23162.746980428131792,9809.8915632977641508,40556.018522435326304,20131.390169095357123,10687.034286930867893,22782.437433916991722,14166.533822796734967,13835.152914919044633,11184.10564919742319,10189.962925564321267,14994.986092940998788,11018.41519570858145,25682.020380771868076,10189.962925564321267,10521.343833442026153,9691.9239999999990687,37530.337252840014116,11616.695999999999913,18033.82566191990918,40791.046560000031604,19621.961999999999534,28185.084000000002561,10264.488000000001193,5773.1999999999998181,5771.9420000000000073,20209.101148800051305,10094.397324640001898,4105.1779999999998836,10519.367999999998574,17036.921689999933733
9,12962.767940619214642,21741.351292272745923,19198.023405195555824,124275.26117490566685,63778.824108166030783,27156.17840640481154,16808.5670128850943,28658.606757849061978,15362.924486718704429,15362.924486718704429,105746.64429589880456,15916.310002418533259,23382.207994161239185,32735.091191025741864,9894.9260326089170121,10829.654228264143967,34921.343616725578613,31767.284309626127651,31347.977479670680623,32817.1340257701886,41856.165372279625444,13452.93928059692189,22943.693973228131654,9716.0117030977635295,40172.475161835325707,19936.40892089535555,10583.525723030867084,22561.779642716992385,14029.324796296734348,13701.15345631904529,11075.782733497422669,10091.268713564320933,14849.753146740999,10911.697064008581947,25433.278870771868242,10091.268713564320933,10419.440053542026362,9691.9239999999990687,37530.337252840014116,11616.695999999999913,18529.177661919908132,40791.046560000031604,19621.961999999999534,28185.084000000002561,10264.488000000001193,5773.1999999999998181,5771.9420000000000073,20209.101148800051305,10094.397324640001898,4105.1779999999998836,10519.367999999998574,17036.921689999933733
