Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66164.328812207415467,110971.81731163396034,97990.208493987011025,608041.80655274423771,317421.2736687095603,138610.08124579515425,83752.31495216456824,142797.6969934135268,77470.891330787009792,77470.891330787009792,514657.97538106463617,81239.74550361353613,119347.0488068706909,167085.86832954006968,48157.581097458438308,55276.527868419674633,170854.72250236661057,159548.15998388701701,156198.06738575230702,167504.62990433193045,204355.64848331356188,67839.375111274770461,114321.90990966866957,48995.104247042123461,200168.03273569516023,101759.06266691353812,54020.243144144158578,115159.4330592523329,71608.229284101296798,69933.182985033956356,56532.812592695190688,51507.673695593141019,75795.845031719654799,55695.289443211506295,171692.24565195024479,51507.673695593148295,53182.719994660503289,213.60021256178092131,857.15923784841743327,253.25515341660016588,390.36994392068248771,858.50057653722035411,444.56786199763871537,603.85689444284571437,214.50599296032095253,121.42753223715169497,118.56583926613230062,435.90254507045074206,191.67138301826986435,79.025029068576486679,185.11535730848703452,334.62310956982935295
1,66190.192648904630914,111015.19653143118194,98028.513163484225515,608279.49193814152386,317545.35460680682445,138664.26434669236187,83785.053985961785656,142853.51704601073288,77501.174937084229896,77501.174937084229896,514859.15674376190873,81271.502366410757531,119393.70193006790942,167151.18270193730132,48176.406041855647345,55298.13563071689714,170921.5101312638435,159610.52784328424605,156259.12568374950206,167570.10797192915925,204435.53172581078252,67865.893728671988356,114366.5986907658953,49014.256581839348655,200246.2790264923824,101798.84059301074012,54041.359820941383077,115204.44923074955295,71636.221157998515991,69960.520078231173102,56554.911440492418478,51527.808201390362228,75825.473857316857902,55717.060900708725967,171759.36067124744295,51527.80820139037678,53203.509281157734222,421.78648994093839519,1685.1192177669076955,497.86183728493261924,766.39545978919090885,1662.1214725988847931,867.30093284143777055,1160.8031179698284632,418.84313063059738624,238.40784733971707965,232.91987418373014407,853.72148807992766706,365.32591988209122746,155.55051854554895385,357.44247857196296536,648.6513964374059924
2,66216.056485601846362,111058.57575122838898,98066.81783298139635,608517.17732353881001,317669.43554490397219,138718.44744758968591,83817.793019759017625,142909.33709860805538,77531.458543381464551,77531.458543381464551,515060.33810645918129,81303.259229207978933,119440.35505326509883,167216.49707433453295,48195.230986252870935,55319.743393014126923,170988.29776016096002,159672.89570268147509,156320.183981746668,167635.58603952630074,204515.41496830797405,67892.412346069249907,114411.28747186310648,49033.408916636559297,200324.52531728963368,101838.61851910792757,54062.476497738585749,115249.46540224675846,71664.213031895764288,69987.857171428389847,56577.010288289638993,51547.942707187568885,75855.102682914031902,55738.832358205945638,171826.47569054464111,51547.942707187597989,53224.29856765497243,617.47849148769466865,2443.9548583339551442,724.86409986530748029,1145.7636740736879801,2359.0617900127444955,1282.645221539797376,1660.5452439814589525,602.7249023994432946,348.84571085250240685,335.3706666037173818,1269.0817273751440553,515.52502926099236902,226.6488472668767713,513.74283995244491052,944.86735110389315651
3,66241.920322299076361,111101.95497102559602,98105.122502478610841,608754.86270893609617,317793.51648300123634,138772.63054848689353,83850.532053556235041,142965.15715120526147,77561.742149678684655,77561.742149678684655,515261.51946915645385,81335.016092005200335,119487.00817646231735,167281.81144673176459,48214.055930650079972,55341.35115531134943,171055.08538905819296,159735.26356207870413,156381.24227974389214,167701.06410712352954,204595.29821080519469,67918.930963466467801,114455.9762529603322,49052.561251433784491,200402.77160808685585,101878.39644520514412,54083.593174535817525,115294.48157374397852,71692.204905792983482,70015.194264625621145,56599.109136086866783,51568.077212984790094,75884.731508511249558,55760.60381570316531,171893.59070984186837,51568.077212984826474,53245.087854152196087,791.46787069118556701,3152.9538991414560769,929.26400035466940608,1532.7521159075934065,2988.2383752104406085,1717.5612014381254085,2146.7286384306680702,769.03737703602939746,459.99289315710541359,439.42036984678691169,1684.666618224596732,645.49265052890302741,292.97495143232998771,654.68226155489435314,1225.9671884073413821
4,66267.78415899630636,111145.33419082280307,98143.427171975825331,608992.54809433338232,317917.59742109850049,138826.81364938410115,83883.271087353452458,143020.97720380246756,77592.025755975904758,77592.025755975904758,515462.70083185372641,81366.772954802421737,119533.66129965953587,167347.12581912899623,48232.88087504728901,55362.958917608571937,171121.87301795542589,159797.63142147593317,156442.30057774111629,167766.54217472075834,204675.18145330241532,67945.449580863685696,114500.66503405755793,49071.713586231009685,200481.01789888407802,101918.17437130236067,54104.709851333049301,115339.49774524119857,71720.196779690202675,70042.531357822852442,56621.207983884094574,51588.211718782011303,75914.360334108467214,55782.375273200384981,171960.70572913909564,51588.211718782054959,53265.877140649419744,956.36319584156922247,3855.6902493669158503,1121.132194510249974,1908.8233364982247622,3586.1212562170921956,2160.8918662961455084,2635.1928521404283856,929.59635165177780891,568.97957044430575024,550.66343844835000709,2080.8652177063763702,764.09465901590942849,353.10561642674821314,786.75618265493903891,1480.8468514211474485
5,66293.647995693536359,111188.71341062001011,98181.731841473039822,609230.23347973066848,318041.67835919576464,138880.99675028130878,83916.010121150669875,143076.79725639967364,77622.309362273124862,77622.309362273124862,515663.88219455099897,81398.529817599643138,119580.31442285675439,167412.44019152622786,48251.705819444498047,55384.566679905794444,171188.66064685265883,159859.99928087316221,156503.35887573834043,167832.02024231798714,204755.06469579963596,67971.968198260903591,114545.35381515478366,49090.865921028234879,200559.26418968130019,101957.95229739957722,54125.826528130281076,115384.51391673841863,71748.188653587421868,70069.868451020083739,56643.306831681322365,51608.346224579232512,75943.98915970568487,55804.146730697604653,172027.8207484363229,51608.346224579283444,53286.6664271466434,1126.8384331778186151,4571.9619327193604477,1310.5346823331685755,2254.1244582596918917,4173.9955547893750918,2589.8662033208524917,3126.0266104828488096,1090.2263478742779625,668.2664886103129902,661.02512072690547029,2444.067420760598452,876.43576766134242462,410.91444756865286081,914.88499784994269248,1704.4595617608219982
6,66319.511832390751806,111232.0926304172317,98220.036510970254312,609467.91886512795463,318165.75929729302879,138935.1798511785164,83948.749154947901843,143132.61730899687973,77652.592968570344965,77652.592968570344965,515865.06355724821333,81430.286680396849988,119626.96754605397291,167477.7545639234595,48270.530763841707085,55406.174442203009676,171255.44827574989176,159922.36714027039125,156564.41717373556457,167897.49830991518684,204834.94793829685659,67998.486815658136038,114590.04259625200939,49110.018255825460074,200637.51048047852237,101997.73022349679377,54146.943204927512852,115429.53008823565324,71776.180527484655613,70097.205544217300485,56665.405679478542879,51628.480730376453721,75973.617985302902525,55825.9181881948316,172094.93576773355016,51628.480730376511929,53307.455713643867057,1307.3503612672227518,5306.4894282282821223,1500.5517020439842781,2558.4516786510448583,4755.0469421487750878,2986.923720435141604,3605.6028718321931592,1249.1870595989873891,756.93238485301071705,759.3791521682644543,2770.649297499480781,982.54038629157423657,470.28146746116090071,1039.381522033658257,1898.1945317474187505
7,66345.375669087981805,111275.4718502144533,98258.341180467468803,609705.60425052512437,318289.84023539023474,138989.36295207572402,83981.48818874511926,143188.43736159411492,77682.876574867565068,77682.876574867565068,516066.24491994548589,81462.04354319407139,119673.62066925119143,167543.06893632069114,48289.355708238916122,55427.782204500232183,171322.2359046471247,159984.73499966762029,156625.47547173278872,167962.97637751241564,204914.83118079410633,68025.005433055353933,114634.73137734923512,49129.170590622685268,200715.75677127574454,102037.50814959401032,54168.059881724737352,115474.5462597328733,71804.172401381874806,70124.542637414531782,56687.50452727577067,51648.615236173667654,76003.246810900120181,55847.689645692051272,172162.05078703077743,51648.615236173733138,53328.245000141090713,1493.9370523306884024,6052.6148601341546964,1688.7220938316695538,2823.6746820279690837,5319.0284664206783418,3341.0285110419990815,4060.6914742818421473,1402.0766319280760399,837.19719200622807875,846.63797088202409213,3061.4943895111146048,1080.0015640713122593,528.13607829049976772,1158.2875662923995606,2067.6037105504165083
8,66371.239505785197252,111318.85107001166034,98296.645849964683293,609943.28963592241053,318413.92117348749889,139043.54605297296075,84014.227222542351228,143244.257414191321,77713.16018116477062,77713.16018116477062,516267.42628264275845,81493.800405991292791,119720.27379244840995,167608.38330871789367,48308.18065263612516,55449.38996679745469,171389.02353354432853,160047.10285906484933,156686.53376973001286,168028.45444510964444,204994.71442329132697,68051.524050452571828,114679.42015844644629,49148.322925419910462,200794.00306207299582,102077.28607569122687,54189.176558521969127,115519.56243123009335,71832.164275279093999,70151.879730611748528,56709.60337507299846,51668.749741970888863,76032.875636497323285,55869.461103189270943,172229.16580632800469,51668.749741970961622,53349.03428663831437,1679.1053651436952805,6797.6973365322792233,1870.4473933115784803,3063.6914357464988825,5855.0121865716973844,3648.4515171696884863,4481.414870418967439,1544.4778314324269104,913.04588645612557229,924.45733902560641582,3320.7936252617723767,1165.0021471807010585,585.28465989761434685,1269.1042328573346367,2218.3360431820469785
9,66397.103342482427252,111362.23028980888193,98334.950519461897784,610180.97502131969668,318538.00211158476304,139097.72915387016837,84046.966256339568645,143300.07746678855619,77743.443787461990723,77743.443787461990723,516468.60764534003101,81525.557268788499641,119766.92691564562847,167673.69768111512531,48327.005597033334197,55470.997729094677197,171455.81116244156146,160109.47071846204926,156747.5920677272079,168093.93251270687324,205074.59766578857671,68078.042667849804275,114724.10893954367202,49167.475260217135656,200872.24935287021799,102117.06400178842887,54210.293235319193627,115564.57860272731341,71860.156149176327744,70179.216823808979825,56731.702222870218975,51688.884247768110072,76062.504462094526389,55891.232560686490615,172296.28082562523196,51688.884247768182831,53369.823573135538027,1856.495206072117071,7529.2208576576895211,2041.8741613395070544,3291.6251114581596084,6353.8531332736347395,3918.4926041976214037,4862.1109637616991677,1673.4143912944371095,987.09723827820766928,999.18384326286059149,3552.9001824576780564,1234.7165244991435884,641.89404161628283418,1369.9863056205686007,2354.0382282874084012
