Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66164.218355683260597,110971.69654136849567,97990.083348227824899,608041.72290918033104,317421.19107650977094,138609.97485346684698,83752.168177499625017,142797.58998038899153,77470.783092136116466,77470.783092136116466,514657.8997058015666,81239.603087884141132,119346.9284266645991,167085.79194362528506,48157.460486167474301,55276.41881515760906,170854.62269223740441,159548.05917491286527,156197.93998063661275,167504.50434512167703,204355.52454142691568,67839.270374439744046,114321.79486898971663,48995.01372066908516,200167.91565268134582,101758.93192384457507,54020.14559669198934,115159.30750498703856,71608.079131323262118,69933.057183514567441,56532.715352080027515,51507.568289565017039,75795.730046875905828,55695.199210677150404,171692.00729944065097,51507.571866796977702,53182.619725485870731,12.15757062871529115,14.147445904724250454,12.158796835003272463,15.401939188340543652,14.353541005149443421,14.355951295755248864,14.436265576692981938,11.798592591769100579,9.2668360841763615099,8.8950690842986332996,14.474964817046775067,10.846211816542201234,7.1824763646359208735,10.860498182066926631,13.515243731653388437
1,66189.986102765396936,111014.97636799060274,98028.286106998406467,608279.31311869085766,317545.18353197642136,138664.06575513657299,83784.791088029480306,142853.31976901859161,77500.969425438976032,77500.969425438976032,514858.99934210308129,81271.246023199666524,119393.49456443348026,167151.0096636240487,48176.177303590433439,55297.929037970716308,170921.31778688693885,159610.33570841426263,156258.88280076393858,167569.86992531464784,204435.29443801942398,67865.696148758943309,114366.38930691382848,49014.081905274339078,200246.05764778022422,101798.6059955614619,54041.170973960033734,115204.23658959743625,71635.948612521271571,69960.290902268097852,56554.711154226177314,51527.61009314518742,75825.269710349515663,55716.889589440361306,171758.96895274790586,51527.612143189093331,53203.318607145927672,20.27929302970737524,23.41305703098132085,19.482194500387567615,19.792332806414250967,24.459995389878272931,20.174066913656567124,21.982844737789108081,19.532670565020417541,15.673045207169847615,15.735895831189564475,22.393258936466800435,17.306861047552384747,11.895730550987529739,16.830459838241573323,19.336536017857532954
2,66215.791570953413611,111058.2902863023337,98066.528734154606354,608516.89119486662094,317669.20241436955985,138718.176956637064,83817.467594140311121,142909.06557900912594,77531.193045316482312,77531.193045316482312,515060.09826886677183,81302.941572183612152,119440.07874016581627,167216.24927905664663,48194.947397918542265,55319.483604424218356,170988.02999326417921,159672.62950163646019,156319.86111787660047,167635.27186607324984,204515.08603051595856,67892.155628412481747,114411.01202311254747,49033.180413361995306,200324.22016264838749,101838.32048043665418,54062.231127884959278,115249.18580426780682,71663.878825337262242,69987.570817611689563,56576.757410320686176,51547.69114739428187,75854.840235053212382,55738.604118805968028,171826.00547692476539,51547.692429869624902,53224.055878065002616,23.11778982474046984,27.890994745983213932,22.259307729564191902,21.303513668610143839,28.284425416301747447,22.965239557973227136,24.138090707035086524,22.186341693670240005,18.052565208164750743,18.237376435624490512,25.643593639151003316,19.617414263842253064,13.286737818770657071,18.948710093702267443,21.637613593849891913
3,66241.605414240373648,111101.61802644569252,98104.783420917883632,608754.37873976759147,317793.22962890838971,138772.30515212952741,83850.154456876873155,142964.83161088396446,77561.425591163671925,77561.425591163671925,515260.82105557323666,81334.648683806779445,119486.67811892859754,167281.50804804661311,48213.725402842945186,55341.045745481125778,171054.76172658862197,159734.94217658165144,156380.85651095098001,167700.68682857902604,204594.89912480450585,67918.623482667142525,114455.64713336444402,49052.285778235214821,200402.39866498098127,101878.04713875267771,54083.298537761169428,115294.14848943038669,71691.8187502878136,70014.859376667431206,56598.811151057278039,51567.779238795606943,75884.41891637921799,55760.325635296918335,171893.06479703678633,51567.779808337851136,53244.800043008552166,22.191793785872487632,26.918075504376343332,21.678730014917817925,21.505292484923597129,27.693297855047671163,22.871317596519560311,23.859747651273465863,21.396914385288226867,17.770225277620525617,17.831322667716229091,26.131882303911055487,19.212701633531828804,14.004844160883672899,18.952771258033326518,21.783030510291929716
4,66267.421460084675346,111144.94676910183625,98143.040084900290822,608991.9598839568207,317917.22893216449302,138826.42990606609965,83882.843880122716655,143020.59349851968,77591.660455550416373,77591.660455550416373,515461.9142244598479,81366.357622580209863,119533.27858246631513,167346.76093036492239,48232.506088873757108,55362.610538534921943,171121.48248053470161,159797.24587536518811,156441.85074841446476,167766.10106022708351,204674.70641019626055,67945.0937474037637,114500.28457752446411,49071.393387019816146,200480.56390904911677,101917.77622895101376,54104.368696574973001,115339.11294935949263,71719.761403102442273,70042.150653790697106,56620.86681489719922,51587.869716058346967,75914.000161053685588,55782.049862938212755,171960.1195312186901,51587.869905164268857,53265.546450196168735,21.390143607041245843,26.750466915707477256,20.540515580731714351,21.657108165637307451,27.331560477196500614,23.558519379018882489,23.86024890600851478,20.383739310763132835,17.221441166641042742,17.204731600814000103,26.129795916327271499,18.552066910492257534,14.646044664304170624,18.256895071596943581,21.590754637766970347
5,66293.238270449262927,111188.27691410158877,98181.297438036403037,609229.44537285726983,318041.25930581561988,138880.55873045301996,83915.534543948189821,143076.35774278987083,77621.896619898732752,77621.896619898732752,515662.86265316407662,81398.067649955613888,119579.87867981592717,167412.01597635337384,48251.287226204440231,55384.175893619343697,171188.21344519237755,159859.55794289131882,156502.846768935211,167831.51790241803974,204754.51219182455679,67971.565164153536898,114544.9230719616171,49090.501636453846004,200558.7462698527379,101957.50661870733893,54125.439718226196419,115384.07740217159153,71747.704737417094293,70069.442934600258013,56642.923206510065938,51607.960758817040187,75943.582858956069686,55803.775297139691247,172027.17421719976119,51607.960706751975522,53286.293412608043582,18.661714469362969737,24.056329814752881902,17.973838171997037705,19.695314949581955943,25.003128303156096024,21.79028988791129251,22.549016506368317891,17.96906932311884475,15.735215452308356276,15.854666446588371542,24.554788382244151279,16.693657263399966695,14.732424398130612886,16.337480975149624385,20.0176440463643317
6,66319.060184667730937,111231.60945820168126,98219.557307786366437,609466.89614909002557,318165.26534067618195,138934.69096203977824,83948.229113644760218,143132.12750512664206,77652.136469633071101,77652.136469633071101,515863.86068642116152,81429.782305418499163,119626.48359761091706,167477.2776771915378,48270.069757283927174,55405.740968283549591,171254.94482592892018,159921.87143082768307,156563.84504618062056,167896.93580910546007,204834.32255647375132,67998.041742451372556,114589.565369813703,49109.611651219100168,200636.92266578946146,101997.2393327743921,54146.510868879588088,115429.0460463512718,71775.653252937991056,70096.739262110058917,56664.980848029110348,51628.053110609042051,75973.170542835970991,55825.501884119141323,172094.23530146622215,51628.05274669843493,53307.040392057911959,14.502864324339869384,20.05137146878287524,14.082362451167981021,16.460002632252539456,21.536619374030475882,18.082224396640143027,20.290856051801327453,14.013639785149416994,13.241327640103657259,13.939787369158750607,21.260568551710861129,13.325670826357679744,14.186873747999326767,13.157266791912119785,16.571399736132825353
7,66344.883198687224649,111274.94162729667732,98257.817355778577621,609704.51445519353729,318289.27091906603891,138988.8198183295317,83980.924798337437096,143187.8939858370868,77682.377369125388213,77682.377369125373662,516064.96390548854833,81461.496826316331862,119673.08842872155947,167542.53543951493339,48288.85343377613026,55427.308617523347493,171321.66856521461159,159984.17814591503702,156624.84341103641782,167962.3543355698057,204914.14132866475848,68024.518964354327181,114634.20786900489475,49128.722828885445779,200715.09205425565597,102036.97166941850446,54167.584847146332322,115474.01496900166967,71803.602435066102771,70124.036234494255041,56687.039769066330336,51648.146183850440138,76002.757017232652288,55847.230495722731575,172161.2951581228408,51648.145866847218713,53327.789372573031869,7.1504145834020551575,13.864734753355264729,6.9785421727460885677,8.9945259411764748592,12.390070755940396197,10.380462233505955538,12.133085669671803686,6.8444473859489924905,6.6066022990526995784,7.8716639230559923845,11.56967685286882741,6.4662472476023307166,9.4395037369256620252,6.4714512241615498311,8.4074826665893382938
8,66370.707567338555236,111318.2755262680439,98296.078554501800681,609942.08063344715629,318413.30759537598351,139042.95361016292009,84013.621984701429028,143243.6634541603853,77712.618974147670087,77712.618974147670087,516265.93865574384108,81493.212236417399254,119719.69438151865324,167607.79759552824544,48307.638134902183083,55448.877489947095455,171388.40624416086939,160046.49625889767776,156685.84776775285718,168027.77945083371014,204993.96493817129522,68050.997383552166866,114678.85190215171315,49147.835284541346482,200793.28175857331371,102076.70513399253832,54188.660501029255101,115518.98520834573719,71831.553361493948614,70151.334303887546412,56709.099516556838353,51668.240773796729627,76032.343609793926589,55868.960291096445872,172228.35429751424817,51668.240587360807694,53348.53957538328541,1.5165694956885573674,2.9090440347102450858,1.4668895287270578009,1.8890985344640487398,2.3318560531210117404,3.385973818510658262,2.4323460149496156646,1.4913477739462335236,1.5740105418729974929,2.8336213654909858661,4.2992598386170861602,1.4545514564271684321,5.3626889408397406811,1.4312457412430017456,1.9310524792769232505
9,66396.53299529729702,111361.61045882332837,98334.340182675383403,610179.69352580071427,318537.33881289960118,139097.09009429582511,84046.319970067721442,143299.43635740640457,77742.8609810781345,77742.860981078119949,516466.99368024262367,81524.928043024425278,119766.30213958989771,167673.06451273700804,48326.423679882202123,55470.446972034027567,171455.14556368958438,160108.81669405172579,156746.85369451157749,168093.20615011488553,205073.79054444146459,68077.476587494747946,114723.49760634677659,49166.948827953397995,200871.47229134704685,102116.43939270745614,54209.737099128848058,115563.95715698097774,71859.505799479215057,70178.633131748647429,56731.159942867234349,51688.336235134673188,76061.930550092409248,55890.69084569777624,172295.41682121885242,51688.336173823554418,53369.290368637201027,125.66146687208164678,196.8447764965458191,123.69741532503680048,144.43030155535797121,204.66810900579946519,158.70980265434451439,203.94700288344728278,126.92565094067445841,117.90472899956051833,123.1477349421816001,170.33154416898651107,126.47988560809268677,98.235267377245264697,123.00193875586485603,132.92797772039426718
