Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,14103.769318848662806,23655.056135900551453,20887.86088982322326,129611.85475167373079,67818.484048898491892,29546.504079139034729,17872.795742850961688,30439.147706983658281,16513.907113745870447,16513.907113745870447,109705.90185254235985,17317.286378745728143,25440.343391489175701,35616.480747963527392,10265.401719439854787,11819.771610100726321,36419.860012968441879,34009.722217966882454,33295.60731580688298,35705.745110711352027,43561.00903512644436,14460.826769925346525,24369.171038155764109,10443.930445027499445,42668.365407376892108,21691.240154823353805,11515.102798262867509,24547.699763644170162,15264.206034925664426,14943.210748511501151,12050.68897492681208,11014.638526707729397,16156.849662668586461,11872.160249440030384,27671.952460902411985,10979.516621696091534,11336.57407277385937,9419.9999998672046786,37934.31399960834824,11339.999999889256287,17655.351999665599578,40139.999999864667188,19709.99999990105789,28889.99999980841676,10287.931630773649886,6173.1999996973936504,5609.9999998898638296,20162.743599231238477,9959.9999998673301889,3989.9999998702915036,9762.114572864402362,16379.999999936890163
1,13976.991388087946689,23485.999579197272396,20700.10116945955815,128446.7816144652752,67367.060151748766657,29348.600448946963297,17712.317349386998103,30165.532046130370873,16365.464599782291771,16365.464599782291771,108719.7621242008463,17161.62233708144413,25211.661680826742668,35296.326352915093594,10207.093597094610232,11713.855870443305321,36092.484090226469561,33704.010878322042117,32996.315111954783788,35477.30836623612413,43296.320476473389135,14330.839271264036142,24150.118031092602905,10384.108271339751809,42411.224112168361899,21496.258906759485399,11447.021306080736395,24327.041972580358561,15126.997008563888812,14842.084762423670327,11942.366059367077469,10915.944314848187787,16011.616716605187321,11765.442117882786988,27480.982948007960658,10880.822409839054671,11234.670293016746655,9419.9999998667080945,37934.313999680009147,11339.999999953513907,17655.351999678507127,40139.999999818493961,19709.999999974301318,29533.153438389745133,10577.175630462525078,6346.3999994377372786,5609.9999998645043888,20162.743599319343048,9959.9999998438597686,3989.9999998621537998,9744.1119862593532162,16380.000000037724021
2,13850.213457322426621,23316.688444636609347,20512.341449091505638,127281.7084772419912,66758.8470402033563,29083.008707687546121,17551.83895591867622,29891.916385271080799,16217.022085814227466,16251.032652196485287,107972.22142725148296,17005.958295413041924,24982.979970159503864,34976.171957859798567,10114.818520931101375,11607.940130780480104,35765.108167477126699,33398.299538670296897,32781.094617900242156,35249.273655946410145,42904.753196327248588,14200.851772597803574,23931.065024025007006,10290.228411274922109,42154.214099611592246,21301.27765869126597,11343.512742318464007,24106.384181512075884,14989.787982197300153,14708.085303957863289,11834.043143801964106,10852.356650181212899,15866.383770537406235,11658.723986320123004,27289.908565264078788,10782.128197976519004,11132.766513254149686,9419.99999979246968,37934.313999675068771,11667.347999638490364,18150.703999348228535,40139.999999733598088,19709.999999969695637,29664.251999636122491,10866.419630149885052,6346.399999375441439,5609.9999998244593371,20740.365598976979527,9959.999999774607204,3989.999999798092631,9726.1238878926196776,16380.000000068239387
3,13723.435526561479492,23104.054573273137066,20324.581728727593145,126116.63534002852975,66150.633928665629355,28817.416966433629568,17391.360562454599858,29618.300724417556921,16068.57957185003761,16136.557411176712776,106986.081698909853,16882.311405092092173,24754.298259498504194,34753.349692821997451,10022.543444772732983,11538.889700286219522,35437.732244736405846,33129.169024499969964,32481.802414046986087,35020.844790177885443,42513.185916187831026,14106.509286702466852,23712.012016961620247,10196.348551215118277,41770.670739165980194,21106.296410626720899,11275.412524720579313,23885.726390448249731,14852.578955835409943,14574.085845496723778,11761.594722582245595,10753.662438321556692,15721.15082447369241,11587.725927624134783,27099.023345817666268,10683.43398611928933,11030.862733496867804,9691.9239995078387437,37934.3139997394901,11667.347999671992511,18150.703999359335285,41298.70799938300479,19710.000000043077307,30498.209999305719975,10866.419630159352891,6346.3999993760589859,5609.9999998442672222,21317.987598652311135,9959.9999997626673576,3989.9999997960007931,9708.1418848299272213,16380.000000180287316
4,13596.657595801736534,22935.269676896372403,20176.810216979502002,124951.5622028150392,65542.420817126709153,28619.46941876985511,17263.1890812055899,29344.685063563239964,15920.137057885847753,15988.114897212522919,106098.17676339045283,16726.647363427673554,24525.616548835805588,34433.195297772421327,9964.1917444217615412,11432.973960628094574,35110.356321992665471,32910.973227569607843,32182.510210194999672,34792.97777978049271,42121.618636050421628,13976.521788041738546,23538.672389399904205,10102.468691154617773,41387.127378719458648,20951.094951634011522,11171.903960963039935,23665.06859938413254,14715.369929473457887,14476.186777453498507,11653.271807021495988,10654.968226462193343,15608.355082562824464,11481.007796066061928,26850.281835958285228,10584.739774261484854,10964.210206538689818,9963.8479992161683185,38998.627999385389558,11994.695999372243023,18150.703999358716828,41298.707999361002294,19710.000000083193299,30498.209999235277792,10866.419630164704358,6346.3999993707775502,5609.9999998574185156,21317.987598720155802,9959.9999997518716555,3989.9999997979871296,9690.2523127461045078,16380.000000275094862
5,13469.879665043134082,22766.292710936209915,19989.050496616382588,123786.48906560639443,65090.739186138336663,28421.544433007802581,17102.710687742368464,29071.069402710443683,15806.221045107680766,15873.656857896545262,105112.0370350498124,16570.983321763826098,24296.934838174456672,34113.040902725391788,9871.916668264188047,11364.045045588767607,34782.980399251107883,32605.261887925236806,31883.21800634434112,34472.02099273775093,41730.051355915085878,13846.534289382727366,23319.619382338525611,10008.588831095505157,41003.58401827380294,20756.113703570255893,11103.876091843800168,23444.410808321332297,14578.160903112611777,14342.187318993073859,11544.94889146265632,10556.274014604039621,15463.122136499689077,11374.289664509618888,26659.401191126038611,10486.045562405301098,10897.673983516649969,10235.771998931561029,38998.627999410346092,12010.282328052730008,18150.703999361961905,41298.707999328456935,19710.000000145399099,30498.20999916218716,10866.419630179998421,6346.3999993794286638,5609.9999998801904439,21317.987598815347155,10247.511999458432911,3989.9999998050448085,9672.2167814085187274,16380.000000384674422
6,13343.101734275423951,22553.658839565960079,19801.290776243538858,122621.41592838283395,64482.526074596738908,28155.952691747203062,16942.232294272213039,28797.453741848621576,15657.778531136022139,15725.214343924892091,104125.89730670260906,16415.319280092702684,24068.253127507028694,33792.886507671777508,9779.6415920976269263,11258.129305922346248,34455.604476500731835,32299.550548271872685,31583.925802485751774,34151.064205685754132,41338.484075767359172,13716.546790715199677,23100.566375269343553,9914.7089710274794925,40620.040657818623004,20561.132455497034243,11000.367528078841133,23223.753017252693098,14440.951876743836692,14208.187860524161806,11436.62597589518009,10457.579802736270722,15317.889190429852533,11267.571532944151841,26433.812508887076547,10387.351350540395288,10795.770203750853398,9921.7719994865910849,38998.627999240037752,12010.282327990136764,18150.703999226640008,41298.707999200647464,19710.000000042386091,29535.209999766640976,10866.419630074999077,6346.3999992759845554,5423.0000004032017387,21317.98759872424489,10247.511999371288766,3989.9999997049212652,9513.1297441708520637,16246.328040595990387
7,13216.323803506031254,22341.024968196874397,19613.53105587248865,121456.34279115470417,63874.312963064352516,27890.360950486185175,16781.753900799751136,28523.838080988203728,15509.336017162948337,15576.771829951821928,103139.75757835518743,16259.655238419773013,23839.571416840717575,33472.732112620629778,9687.3665159337961086,11152.213566257161801,34128.228553753295273,31993.839208620403951,31284.633598625990999,33830.107418636485818,40946.916795622390055,13586.559292045694747,22881.513368200412515,9820.8291109621131909,40236.497297366237035,20366.151207425653411,10896.858964316079437,23003.095226185228967,14303.742850373471811,14074.188402053820028,11328.303060329100845,10358.885590869402222,15172.656244356912794,11160.853401380316427,26208.544819692629972,10288.657138678319825,10693.866423986934024,9921.7719993520149728,38305.58656938977947,12010.282327898170479,18150.703999084169482,39960.707999872698565,19655.993793336656381,28572.210000401639263,10866.41962995594622,6346.3999991767868778,5236.0000009161803973,20855.755999644166877,9915.5119998603822751,3857.0000001618959686,9354.2150543587886204,15753.251066887025445
8,13089.545872735025114,22128.391096825136628,19425.771335498535336,120291.26965391384147,63266.099851521445089,27624.769209219692129,16621.275507324957289,28250.222420121772302,15360.893503187871829,15428.329315976741782,102153.61785000041709,16103.991196744354966,23610.889706170670252,33152.577717560525343,9595.0914397674932843,11046.297826590012846,33800.852630996261723,31688.127868960495107,30985.341394761129777,33509.150631578180764,40555.349515469497419,13456.571793374367189,22662.460361128585646,9726.9492508947987517,39852.953936906938907,20171.169959351977013,10793.350400551282291,22782.437435114730761,14166.533824001298854,13940.188943581491912,11219.980144761595511,10260.191379001000314,15027.423298282299584,11054.135269814914864,25959.803309822622396,10189.962926813970626,10591.962644221071969,9921.7719991475096322,38305.586569182145467,12010.282327753484424,18150.703998897082784,39960.707999653728621,19655.993793083387573,27609.210000872837554,10804.351700037979754,6146.3999995903077433,5049.0000013620337995,20855.755999461300235,9583.5120002736057359,3856.9999999979308996,9336.0587067653959821,15753.251066698689101
9,12962.767941977246664,21915.757225462941278,19238.011615132123552,119126.19651669522864,62657.886739995286916,27359.177467963239906,16460.797113858166995,27976.606759264832363,15212.450989222288626,15313.221410858914169,101443.06039050701656,15948.327155076971394,23382.207995510423643,32832.423322511138394,9502.8163636159206362,10940.382086937435815,33473.476708250927913,31382.416529311954946,30686.049190906582226,33279.197885956637037,40163.782235331309494,13326.584294716574732,22443.407354066013795,9633.0693908413486497,39469.410576460366428,19976.188711285576574,10736.676958759093395,22561.779644053713128,14029.324797640672841,13806.189485121167309,11111.657229208494755,10161.497167147035725,14882.190352217439795,10947.417138265860558,25711.06179996218998,10091.268714965473919,10490.058864470032859,10090.075999133849109,38305.586569123595837,12010.282327805694877,18514.202917438025906,39960.707999573984125,19655.993793043646292,27609.210000781920826,10804.351699968330649,6146.3999995749636582,5049.0000013430180843,20855.755999403983878,9583.5120002151943481,3856.9999999939086592,9317.9411227339205652,15753.251066740000169
