Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,14103.776260372382239,23655.064552109884971,20887.869259003400657,130993.47347163161612,67662.395093263708986,29546.512722791350825,17852.881537474888319,30439.157492999940587,16513.914401471050951,16513.914401491747412,109823.91074711436522,17317.293263388513878,25440.353555585650611,35616.490596564064617,10265.408323018713418,11782.902556343957258,36802.26463786487875,34009.729296310324571,33295.615449608274503,36078.326391314578359,43561.016646834497806,14460.833813890203601,24369.180897146699863,10443.937287830043715,42668.373923573388311,21691.247225534250902,11515.110884168399934,24547.713675329301623,15264.215358978548466,14907.156861126506556,12050.696068831508455,10979.523617127064426,16156.856117468338198,11872.169085072504458,27671.961703633973229,10979.524242413599495,11336.581510978194274,9437.2894108419586701,36888.973291098838672,11341.552731310350282,17177.48486364787459,40140.379764445497131,19729.036195090160618,28890.504987796091882,10309.241217100243375,6173.1971603612955732,5771.9397610073938267,20587.619308762536093,9960.0763596899123513,3990.0380067124106063,9780.0027247434500168,16380.873880205559544
1,13977.005090268936328,23442.438862152022921,20700.117641413187812,129828.40892504744988,67054.190008633289835,29280.929461331819766,17692.411851957178442,30165.551520441506,16365.47901621759047,16365.479016258561387,110007.36054969558609,17161.6359641983654,25211.681644355023309,35296.345856860425556,10173.139765722382435,11676.993379659930724,36474.895984006718209,34058.249907578661805,32996.331322197103873,35757.376745658664731,43281.779281594579516,14330.853285653118292,24150.137515295755293,10350.064158219571254,42284.838995684593101,21496.273004530179605,11411.610211251474539,24327.069395515878568,15127.015431437603183,14773.165540129893998,11942.380199778121096,10880.836320231044738,16011.629191441721559,11765.459179921896066,27423.229240188302356,10880.837462099987533,11234.685011786092218,9452.0978310559567035,37953.283090630968218,11342.948676263193192,17191.245099313036917,40140.640040497259179,19743.917245433942298,28890.902817530328321,10598.481418210041738,6346.3946326842969938,5933.87919094449353,21165.237847710806818,10247.585074877482839,4105.2136159048395712,9780.0051332351140445,16381.560875766568643
2,13850.234228895038541,23229.813642456494563,20512.36649242515341,130062.80485242178838,66445.985301641965634,29015.346688243964309,17531.942677609589737,29891.946138616553071,16217.043930291933066,16217.043930353971518,110208.53350530131138,17005.979032935247233,24983.010390339768492,34976.201747741753934,10080.871528692172433,11571.08452255899283,36525.094882018755015,33752.545963466945977,32697.047549106766382,35818.772198792066774,43357.911961691192118,14348.373434288023418,23931.094654587966943,10256.191311207767285,42360.34347076958511,21301.299169613652339,11308.109953996992772,24106.426054824885796,14989.816038364082488,14639.174640233391983,11834.064663748868043,10782.149347794622372,15866.402841092549352,11658.749737697868113,27174.497254954156233,10782.151072377419041,11132.788893617345821,9479.6626545336384879,37979.092632747757307,11344.77279925795483,17220.381969506943278,40141.095661332576128,19772.524778541825071,28891.618277665722417,10887.722855780759346,6346.4565650990034555,6095.8189001294513218,21176.024987457574753,10535.09423857447473,4105.2507741480212644,9780.0080975794808182,16382.691179117249703
3,13723.463218302164023,23017.188252502561227,20324.615177581301396,129757.06933416151151,66593.644141543059959,28749.763733425665123,17371.473306308940664,29618.340532225869538,16068.608697742107324,16068.608697824467527,109222.40400603116723,16850.321953354963625,24754.338914239830046,34656.057409202599956,9988.6031786059720616,11465.175554593644847,36197.726442372004385,33446.841816746898985,32397.763601968421426,35497.822797005064785,43422.687789482784865,14218.393117147570592,23712.05153241305743,10162.318306707513329,42425.836168234694924,21106.325187418999121,11204.609524874877025,23885.782377011732024,14852.616450518182319,14505.183518236503005,11725.748995547912273,10683.462226473355258,15721.176398659627012,11552.040140962219084,26925.765099693642696,10683.464522496095015,11030.89262225287348,9751.5840185377128364,37996.586551300351857,11672.118024848909045,17715.73134920270968,40141.454921361961169,19791.502362759893003,28892.119871724466066,11176.964063648680167,6519.6539996301316933,6257.7584601645830844,21753.644017949445697,10822.603162999106644,4105.2848984541151367,9780.0106839248455799,16383.571335726555844
4,13596.692848303884603,22804.563410284310521,20136.864213659508096,129989.10009371746855,66742.578465374172083,28484.182273948998045,17211.004099450608919,29344.735414348895574,15920.173422513806145,15920.173422616580865,109410.16887337446678,16694.665812556657329,24525.667716795287561,34335.914516677388747,9896.3350650341471919,11456.492959973686084,36249.326480961426569,33141.139202127305907,32098.479957422558073,35176.87466659504571,43492.521840489658643,14088.41321946941207,23493.009764420563442,10068.445342021679608,42042.302136251346383,20911.351761502162844,11101.109132299376142,23665.138394923858868,14715.417021322753499,14371.192982921642397,11617.433248960673154,10584.775475040074525,15575.951371212106096,11445.331113219541294,26677.033289132312348,10584.778048005688106,10928.996424403829224,9770.010380210223957,38213.370454728559707,11673.929913595604376,17734.78453371714204,40141.84203905454342,19808.756251810358663,28892.755571680001594,11177.612159291349599,6519.7163981912981399,6258.7386988422767899,21762.724832609612349,10833.783353799573888,4167.4859182763984791,9780.013565984861998,16856.404810250573064
5,13469.918877878990315,22591.933998662010708,19949.108799723220727,128824.03491181126446,66134.371476732747396,28218.595598265299486,17050.530190725618013,29071.124701881934016,15771.734698114436469,15771.734698222233419,108424.03609930109815,16539.005860424185812,24296.99093043279936,34015.765579702281684,9804.0636168413075211,11350.580800234947674,35921.955318498483393,32835.432527986871719,31799.192268432609126,34855.922492634359514,43100.959674939789693,13958.429657736141962,23273.962001151499862,9974.5691194301816722,41658.763700249117392,20716.374633272356732,10997.604691239415843,23444.486254501331132,14578.212497539203468,14237.197789604988429,11509.114106888882816,10486.085105653948631,15430.722578949149465,11338.617412113540922,26428.296582034225139,10486.087805646197012,10827.096560727184624,9770.0120966981830861,39277.559682468971005,12000.935825551776361,17734.786494740401395,40141.845071698262473,20377.558097389784962,29105.820106683888298,11177.613895471340584,6519.7184728489610279,6258.7407549297631704,21762.726932894227502,10833.785893445514375,4167.4891880003760889,9780.0133918304727558,17328.722803957032738
6,13343.142732728196279,22379.302077970973187,19761.350952363602119,127658.96533894982713,65526.161095057745115,27953.006107649827754,16890.053691140841693,28797.511181072517502,15623.293899491691263,15623.293899600785153,107437.89938628507662,16383.343642006202572,24068.311275463081984,33695.613560541889456,9711.7901977522033121,11244.666665963617561,35594.58165576869942,32529.723393330925319,31499.902091044285044,34534.967895513560507,42709.394866562070092,13828.443915690721042,23054.911247708245355,9880.6909444420634827,41275.222624383750372,20521.395252504466043,10894.097915683929386,23223.830647091850551,14441.005362129459172,14103.200177447090027,11400.792870691420831,10387.392645966763666,15285.491335882923522,11231.901155026169363,26179.558652602783695,10387.395349426842586,10725.194509098397248,9662.5590944424420741,39180.305856137412775,11995.456619156349916,17162.790806458269799,40138.51165472932189,20280.92772298775526,29104.704336442344356,11150.224206080862132,6433.0991851317476176,6071.7439699300857683,21583.568494364786602,10833.723546032195372,4167.4723259811526077,9732.3480589350456285,16782.7262667141149
7,13216.366355096661209,22166.669997730983596,19573.592942900886555,126493.8941998668306,64917.950117955362657,27687.416299368152977,16729.577071295709175,28523.897555210802238,15474.853003727363102,15474.853003837735741,106451.76235521637136,16227.68122090770521,23839.631442503476137,33375.461232592911983,9619.5166120071171463,11138.752422287789159,35267.207622152993281,32224.013878118370485,31200.611821758455335,34214.012908921089547,42317.829600975863286,13698.457988921192737,22835.860216612552904,9786.8127101631580445,40891.681243106104375,20326.415714507318626,10790.591095645600944,23003.174951805292949,14303.79813792279856,13969.202400580232279,11292.471583041655322,10288.700044250879728,15140.259750960905876,11125.184919366593022,25930.820537762061576,10288.702827461105699,10623.292376040231829,9348.5632040862419672,37951.309991765534505,11617.460292369194576,16996.201673382089211,40138.223390420680516,19623.932445094735158,28774.925964878588275,10816.228038083856518,6233.1029134030140995,5884.7474577121893162,20916.573498900892446,10655.343090559628763,4123.6566259327564694,9683.1444946293268004,16456.163825188559713
8,13089.589973066071252,21954.037886906811764,19385.834898828070436,125328.8229688127758,64309.739027342307963,27421.826487204121804,16569.100413154486887,28250.283932977527002,15326.412081334050526,15326.412081445576405,105465.62549029606453,16072.018763007656162,23610.951592830468144,33055.308888199127978,9527.2430117506246461,11032.838148956921941,34939.833556107230834,31918.30433630724292,30901.321568207786186,33893.057921987419832,41926.264289368977188,13568.472042675655757,22616.809143577283976,9692.9344637692756805,40508.139807618732448,20131.436144618270191,10687.084243150149632,22782.519228114797443,14166.59087918550722,13835.204600806326198,11184.150285973004429,10190.00742207658368,14995.028212480037837,11018.468562522652064,25682.081592486934824,10190.010280071657689,10521.39021690246409,9034.5664392821327056,37950.16689403183409,11522.058610588846932,16995.164403240818501,40138.123869582166662,19622.748391479111888,27811.928125946251384,10804.389174723917677,6033.106025153561859,5840.7066914464203364,20915.28169491960216,10652.050747382088957,3990.6602245067820149,9633.5917881992772891,16454.154394703233265
9,12962.818535435404556,21741.411594585322746,19198.082446193526266,124163.75804677369888,63701.534637917866348,27156.242993045092589,16604.403075320977223,27976.677432704083913,15177.975948577412055,15177.975948704013717,104479.49658511248708,15917.064158259838223,23654.55825224131695,33118.480964632421092,9434.9737670237609564,10926.928295032616006,34612.464988510342664,31612.600105678018735,30602.036922170820617,33572.108183932912652,41992.63763835113059,13438.490756622120898,22397.764984584766353,9599.061221098740134,40124.604112232496846,19936.461509388773266,10583.582853948015327,22561.872518025582394,14029.389942718156817,13701.212731647538021,11075.833690163279243,10091.319739613003549,14849.800480596513808,10911.758891391782527,25433.348497378250613,10091.322952203190653,10419.492945601356041,9070.8824859269643639,37988.319393996578583,11523.717259890272544,17031.889909319470462,40138.206310397312336,19664.962840603926452,28645.870483890721516,10805.143621431887368,6033.1700014749139882,5841.527329513537552,20923.241809390186972,10676.395965638075722,3990.6786202711937221,9633.5948765756820649,16455.1196476233672
