Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66573.807509605001542,111658.61512077979569,98596.654512327309931,613256.30252257944085,320143.29619819880463,139798.59191192081198,84270.649462943154504,144022.12454561318737,78135.047534721699776,78135.047563591841026,519071.57662016467657,81936.230732818788965,120370.38796916039428,168518.6028498786327,48570.30724376822036,55750.317371540542808,172319.76755056338152,160916.23972058916115,157164.72460531041725,168940.93307123886188,206107.97680591224344,68259.22038033651188,115302.14756982987456,49298.329564724168449,201884.46172131208004,102631.52322148125677,54354.569386695307912,116146.86273150719353,72222.112278669985244,70365.988449423181009,56882.687328594482096,51826.448437395207293,76445.632807436355506,56039.982043100957526,130929.22437487520801,51826.450799604244821,53511.862091222043091,9419.9686521273688413,36869.994365162528993,11337.973333570596878,16588.04819835635135,38802.044875583575049,19709.990795787849493,27927.874025719491328,9686.0451505776109116,5800.9520776770677912,5609.9681193011110736,20009.99005602582838,9628.9957532333955896,3857.9834183907905754,9454.0385692471136281,16379.993037531241498
1,66441.922556017962052,111696.90493543598859,98629.496258209066582,613489.64813348057214,320262.16560536791803,139847.33548009005608,84298.061942944521434,144072.51373888910166,78159.599177641794086,77980.625035406512325,519267.79016333312029,81962.390556370664854,120412.20405898004537,168578.65304519832716,48582.810873680908117,55640.137296011038416,172381.14743788552005,160973.22539500691346,157220.22117104390054,169000.70770414525759,206181.89488642170909,68123.996537908649771,115341.9107559848926,49200.671343653986696,201957.02100554588833,102428.68689180235378,54246.895840120145294,116187.12017702528101,72244.536186070967233,70226.593422064906918,56770.004078253827174,51723.781764960469445,76294.550676420389209,56056.00650917449093,130794.93701023081667,51840.713115067017497,53405.857128757030296,9419.9310552231199836,35641.201073429503595,10960.172376386701217,16016.088075850424502,38802.004611863325408,19053.219611720498506,27411.636635670045507,9686.0088996289050556,5800.9362760926605915,5609.9304434719388155,19343.150918905681465,9628.981687004225023,3770.3455153662662269,9284.9342139596374182,16379.978648811786115
2,66310.037790323054651,111475.71705870554433,98434.175013181360555,613650.66159537970088,320387.02816646726569,139571.03331721646828,84131.124940490641166,143787.86069941273308,78189.88489729326102,77826.202975222098758,519470.41646465822123,81994.168174529419048,120459.03566913677787,168644.27836705208756,48486.82213260284334,55529.957476434276032,172448.24802425786038,160655.17874415020924,157281.53921036169049,169066.4723353117879,206262.1639142074855,67988.772770653202315,115386.75749036161869,49103.013436835964967,202035.65943001414416,102468.55196960063768,54139.22249464183551,116232.30475883654435,72272.517514605046017,70087.198481195227941,56657.320932245733275,51621.115427423173969,76324.170291760208784,55944.994129546437762,130845.87757936648268,51738.048770707289805,53299.85238305042003,9152.0811771530807164,35641.18643400700239,10582.940484034590554,16016.051235205384728,38801.96874971291254,19053.203948492373456,26449.336363639686169,9685.9772486014098831,5800.9212097011559308,5609.8978478925100717,18794.483975243383611,9410.3200710662731581,3770.3309378816402386,9284.797944177296813,15834.73006270184851
3,66178.153940623247763,111519.24145689886063,98472.565303358598612,613472.7702820309205,320511.90337038348662,139294.73350535612553,83964.189489478711039,143503.20970958471298,78035.463493197123171,77671.781572631080053,519673.04939930740511,82025.951790866660303,120221.14823536833865,168709.90672087011626,48505.529100789455697,55419.778613732007216,172515.35672906474792,160717.83310176254599,157342.86186274106149,169132.24531142879277,206342.44915599821252,67853.550096595543437,115431.60922186591779,49005.35634603415383,202114.30655348065193,102508.423509612825,54160.26156972211902,116277.49480886923266,72300.502505417578504,69947.804447757604066,56544.638913669987232,51518.449863305329927,76353.789915074477904,55966.691632036541705,130896.85243476628966,51635.385360280532041,53193.848557125056686,8838.1192913517279521,34414.13201844242576,10582.928023600257802,15444.090171122570609,38801.933023403515108,19053.189743324219307,26449.318926473129977,9685.9463202686729346,5601.8130561889711316,5422.9335918562719598,18794.469894112611655,9410.3089993791709276,3770.3180030455700944,8958.8353088803305582,15289.653950430505574
4,66046.26931693017832,111298.05420870968373,98277.244350355787901,613712.2117461314192,320636.74767118942691,139349.10576136288,83996.949607083835872,143559.23418043370475,78009.579252218798501,77702.043286335392622,519875.65522810898256,82057.708017229131656,119983.26004429384193,168775.50803650016314,48409.540398991077382,55309.5988003980965,172582.43583414965542,160780.45825760046137,157404.16216694575269,169197.99055161277647,206422.69678362016566,67718.326454272086266,115476.43684686320194,48907.698517322947737,202192.92637636442669,102548.26743519563752,54052.58833852805401,116047.95745884494681,72328.46008998369507,69808.409801525325747,56431.955873814353254,51415.783562167198397,76383.388467588927597,55855.679400780885771,130638.0842574142589,51532.721096931418288,53214.518642045521119,8838.0859768046029785,34414.118278881389415,10205.565451157564894,15444.054198290474233,37463.977083046316693,18396.999833215879335,25486.886191842877452,9685.9143680762790609,5402.4093316833514109,5235.968756413832125,18127.913102817507024,9078.934704246586989,3770.3037850601090213,8958.6761521534899657,14744.290212552712546
5,65914.382228503600345,111328.98251108713157,98302.200204979701084,613937.22116356552579,320746.78971318114782,139389.70262644355535,84016.934766270933324,143601.5444431254582,78026.531498543772614,77718.996616884585819,520063.11116644227877,81895.772256534080952,119745.36927001501317,168442.42880679966765,48313.549696522881277,55199.416623320190411,172635.36774605765822,160829.12804377707653,157451.95596160955029,169249.59211180271814,206280.24006882333197,67730.582226413185708,115509.00189971092914,48810.038538582717592,202256.80396474798908,102574.39564606397471,53944.912634076747054,116081.36150787638326,72185.72466883539164,69669.012178381744889,56319.270284237180022,51313.114928163136938,76400.258316642968566,55744.66455548468366,130619.00435639238276,51430.054421320048277,53108.511600237914536,8838.0445904007974605,33185.381553705352417,10205.54593621323329,14872.097779410902149,36126.037632670027961,17740.213034152449836,24524.109235782783799,9351.9596239142319973,5202.5921749540939345,5049.0059522086421566,17461.0740699655762,8747.1255943493724772,3637.4766231777266512,8672.3133689921960467,14198.535886257684979
6,65782.497095079961582,111107.78417686451576,98106.877878785686335,614176.65315349609591,320871.63970770174637,139113.40859672462102,83849.995316901593469,143657.57188656667131,78056.787981273329933,77749.253122082416667,520265.7004377162084,81927.513360547454795,119792.17806845610903,168508.03467127570184,48217.561852500868554,55089.236745553593209,172702.44908380918787,160891.75654689143994,157513.24911548447562,169315.33572167283273,206360.49612399903708,67595.357314771550591,115553.81422358760028,48712.38159979179909,201857.76948338813963,102371.55642652105598,53837.23918272870651,115851.82146499627561,72042.990295411276747,69529.616253869608045,56206.586819151794771,51210.44918466580566,76249.173614788320265,55633.65179585529404,130360.23819555105001,51327.390235518541886,53002.507047624414554,8524.090282096680312,32149.261739220710297,9828.1285637356322695,14300.146960478754409,34788.103238772426266,17083.858169414135773,24524.080344728492491,9086.7579809071448835,5044.0353595876640611,4981.7466060993274368,17461.049663917023281,8747.1136234001260163,3505.0829560297738681,8672.1519162329568644,14198.517923606432305
7,65808.564221993234241,111151.51985587595846,98145.494335278388462,614416.3498582560569,320996.76901729212841,139168.03987512164167,83882.998584403801942,143713.85365355332033,78087.312639671174111,77779.777781490178313,520468.58633802086115,81959.52481875558442,119839.2169065898197,168573.89246423248551,48236.529607261218189,55111.011250871546508,172769.79352495426429,160954.64368250427651,157574.81238161120564,169381.35611536880606,206441.04368366830749,67622.083819287901861,115598.8717140637018,48731.679789128247648,201936.66739997174591,102411.65778197463078,53858.518790639172948,115897.20952376292553,72071.204821642910247,69557.170466149604181,56228.85580377028964,51230.737846684081887,76279.037372901497292,55655.59140941726946,130411.40303705986298,51347.679443852866825,53023.455862862014328,8524.0984895979090652,32149.276785849437147,9828.150216101170372,14300.154313315513718,34788.108012249023886,17083.873164649015962,24524.096388861060404,9086.768241706849949,5044.0529998736728885,4981.7560949491344218,17568.999817946998519,8747.1390852973872825,3505.1044457863299613,8672.1598399949925806,14198.542641829244531
8,65834.637460302285035,111195.26146595031605,98184.116988102672622,614656.06335346249398,321121.89825416146778,139222.67761127368431,83916.007240975770401,143770.14185394757078,78117.842983110997011,77810.30812530752155,520671.35343524301425,81991.542232624415192,119886.26041456396342,168639.75655761605594,48255.503690437260957,55132.791950615879614,172837.14495281485142,161017.53730775223812,157636.38115196247236,169447.38362977679935,206521.60316268287716,67648.817052754428005,115643.93410566837701,48750.983918234327575,202015.57485728501342,102451.7659292716562,53879.804401697547291,115942.6021003373753,72099.424912526679691,69584.72999091008387,56251.131482220385806,51251.0326167440071,76308.90772362415737,55677.537316336405638,130462.57326368335634,51367.974541407944344,53044.410971264835098,8524.1387569770049595,32209.927887971829477,10155.471483112189162,14341.339378733131525,35946.74362326614937,17652.710127411501162,25358.00224621655434,9375.9694631504771678,5044.150528241889333,5143.6577262957171115,18146.588076663818356,9034.6229314459160378,3620.2471711534917631,8878.0091360232654552,14198.644399400749535
9,65860.716015458005131,111239.00592223714921,98222.742752631325857,614895.78014618635643,321247.03678049321752,139277.31806050226442,83949.019245061892434,143826.43309226541896,78148.377655098141986,77840.842797433608212,520874.22614749422064,82023.563213375149644,119933.30682760135096,168705.62356410146458,48274.481575308156607,55154.576509848906426,172904.49851231148932,161080.43311829102458,157697.95390743747703,169513.41393224833882,206602.16313650720986,67675.554161743028089,115688.99952016485622,48770.293205095396843,202094.48393047781428,102491.87746411387343,53901.093740858428646,115987.99757769473945,72127.648511247782153,69612.293382258911151,56273.410969706063042,51271.331284878011502,76338.781999745493522,55699.486971529884613,130513.74562789159245,51388.273293067730265,53065.369881846934732,8796.0563110234052147,33274.209953480094555,10482.810110019365311,14836.684316653954738,37105.436450554261683,18221.639341600501211,26191.942674285404792,9665.2048978082439135,5217.3420405588167341,5305.5912700561830206,18724.199350591054099,9322.1280187758620741,3735.4166041632188353,9160.2849417628458468,14671.469242823512104
