Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66573.775910558542819,111726.23769151892338,98652.047157213266473,612290.31600331596565,319558.24170006852364,139467.84704014993622,84270.602406587291625,143795.55671640275978,77950.307232126040617,77950.307232126288,518192.08487484481884,81787.399135894476785,120163.13533790994552,168119.85187104225042,48455.59639441393665,55652.15026225240581,172058.34377035181387,160535.49766541415011,157164.67356065550121,168683.7277506297105,205780.34073430043645,68299.453992028778885,115029.3722965654888,49327.950175730919,201566.198580270604,102446.67361670370155,54354.538563992457057,115942.95979616750265,72092.163766341938754,70407.112624906076235,56882.656634940351069,51826.420490352407796,76264.895182037624181,56073.201422296340752,130712.94278797120205,51857.169390430448402,53543.708856228324294,9106.0003269465323683,36112.338750041155436,11266.890969386211509,17159.999918440902547,38802.000357481156243,19053.000331604573148,28889.999938862074487,10019.99995357962689,5800.0002238645574835,5423.0002051434512396,20009.999990807522408,9959.9999751732211735,3857.0001344045454061,9454.0001146511312982,16379.999949879840642
1,66481.498765866548638,111504.98898065929825,98512.209733562238398,611565.73982190643437,319100.45099234062945,139299.59397614677437,84103.622240325566963,143624.91477124337689,77795.850584011335741,77841.496818903178792,517516.4932652040734,81625.428376408264739,119925.18862176581752,167929.37812408895115,48359.582809355561039,55541.943364712198672,171863.27273510044324,160353.13224085318507,156853.2556191716867,168491.72157540608896,205532.77089534519473,68204.578847081837012,114801.444381231835,49259.957666490547126,201326.89224339328939,102301.76888612326002,54246.836368429998402,115713.36207846050092,71949.395730218690005,70267.684193343200604,56803.928395289971377,51755.031495574883593,76113.77813542066724,55962.159622390783625,130547.58695924389758,51785.257749789932859,53469.580098905222258,8792.0006473042794823,36112.338647120908718,10888.891265152376945,16588.000378853459551,38769.960001680941787,18619.380320314550772,28889.999850818130653,9686.0002357875946473,5600.0004553272319754,5236.0004109504106964,20009.999969115502608,9628.0001828431941249,3724.0002425794550618,9128.0002292668796144,16379.99989443841514
2,66349.584443778570858,111351.44339056588069,98372.328148991015041,610844.5634700198425,318467.59613726875978,139131.51559620912303,83982.664783184300177,143454.55387373134727,77641.39393618577742,77732.540794656888465,516490.40013494947925,81508.376318801689195,119765.44468172748748,167738.31404437721358,48292.599099428647605,55465.310844466053823,171668.31931482482469,160170.89064646695624,156675.56475357490126,168300.44505667578778,205125.33935229235794,68109.555515988424304,114644.10919625719544,49191.967184373432247,200927.80970887208241,102156.89976183384715,54171.519958961704106,115554.84108930057846,71847.688182349229464,70169.510241766722174,56725.050308220750594,51683.644605869376392,76005.644317663973197,55884.347149101071409,130382.10728782581282,51713.331631310851662,53395.440894311919692,8792.0005508836547961,34883.338971470904653,10888.891197392797039,16588.000262825273239,38769.959888830308046,18619.38020715206585,28546.408527607469296,9352.0005268652548693,5400.0006912512926647,5049.0006239411604838,19343.000189542130101,9628.0001557639207022,3618.3982858014710473,8878.2210891991453536,16379.999837092273083
3,66257.321763912099414,111197.95317492604954,98232.491042344874586,610001.48830676893704,318008.98236250557238,138963.52091584948357,83861.708461530870409,143169.85275058221305,77532.575794815304107,77578.084146641514963,515813.29963080835296,81391.308421293986612,119527.49796607602912,167548.08974092450808,48196.585514472542854,55388.671933953519328,171473.58603563511861,159852.79351050467812,156497.30207000832888,168108.60320173110813,204878.10403269837843,68014.68759691316518,114486.74225171636499,49123.9964058124242,200688.75220165215433,102012.17666411616665,54096.219747384195216,115396.09372256038478,71704.920146468357416,70071.25201706813823,56646.334941246408562,51612.282485877396539,75897.930521781076095,55806.72213384614588,130216.78105386761308,51641.4208386983737,53321.31920160716254,8478.0008758174426475,33654.339343349944102,10510.891502028815012,16588.000143541961734,38562.770474085758906,17962.38057836687949,28546.408437750946177,9018.0008194605052267,5200.0009249189033653,4862.0008368329345103,19343.000158964037837,9296.0003858311411022,3485.3984269678599048,8552.221205689582348,15834.000113792159027
4,66125.407441929390188,110976.70446430142329,98037.124248428939609,609278.33802848076448,317550.99708778434433,138687.16879788346705,83740.705955710742273,142999.37685745040653,77423.781117840626393,77469.283915119871381,515135.73747624614043,81274.177232350921258,119289.55125108866196,167358.0018531421083,48100.571929549842025,55312.015831286458706,171278.59418719934183,159534.69637467138818,156318.8587148024526,167917.21364235749934,204631.13654897169909,67919.749942383365124,114329.3858759066643,49056.01106494636042,200289.66966652628616,101809.2957646593859,54020.907696886999474,115166.49600591530907,71602.986770823874394,69931.823585701844422,56567.532313218755007,51540.914682104354142,75790.172519060884952,55729.061321913737629,130051.43424754407897,51569.494884097141039,53215.286807612967095,8478.0007645351015526,33133.914502410494606,10132.891813927850308,16016.000655104524412,38562.77035007289669,17305.380977396078379,28546.408338525972795,8684.0011191496942047,5000.0011630931212494,4675.0010540456250965,18676.000421897664637,8964.0006197124130267,3352.3985676503812101,8226.2213227126703714,15288.000414819987782
5,65993.493119579754421,110822.79394176581991,97841.757453901955159,608557.34125059843063,317092.92800683015957,138410.8166779409803,83619.366263965246617,142714.67573401369737,77269.32446949473524,77359.849846372220782,514457.34885973745259,81156.650598493550206,119129.59040686076332,167167.17783189562033,48033.230581828815048,55201.808933278371114,170937.95472816092661,159351.87738395936321,156141.74388849566458,167583.25339381551021,204384.02128657212597,67824.526724159877631,114101.45796055071696,48958.327677149638475,199890.58712821322843,101606.41486458230065,53945.297783380345209,114936.89828953721735,71460.218734507696354,69833.28990341318422,56454.820711109176045,51438.221889625594486,75639.055471851155744,55618.019521896239894,129831.54806432551413,51466.802092828140303,53140.82901227891125,8164.0011027863711206,33133.91437906826468,9754.8921319513847266,15444.001204488029543,37224.770833077825955,16648.381407873646822,27996.335694834095193,8350.0014265607896959,4868.0011595307123571,4488.0012741532600558,18676.00033385748975,8632.0008399503822147,3219.3986905867177484,8069.3763464263329297,14742.000735982801416
6,65901.727732063678559,110601.54523562519171,97703.293284536266583,607371.76034709077794,316637.08831098955125,138242.18991644080961,83498.934579599357676,142543.5574036402686,77160.599676651865593,77251.120054804050596,513779.8422408872284,81040.114058519829996,118971.51676359210978,166973.34309456995106,47967.362092733768804,55126.061347857910732,170597.31526125900564,159033.78023895915248,155961.29809961476712,167388.1525974496908,204135.08328817144502,67730.030903586564818,113945.9885476577183,48891.400804865617829,199649.1517983507074,101403.53396816366876,53870.813099933293415,114780.3298423524684,71358.868799894407857,69735.566965626960155,56376.784537389190518,51367.761624891711108,75531.206802912653075,55506.977725187774922,129611.46662452997407,51395.792496210939134,53067.546800292380794,7850.0014557218446498,32255.09866956463884,9754.8920458337470336,15444.001052374889696,35886.771288657400873,15991.381862006566735,27033.336057064934721,8350.0013489827615558,4868.0011040419021811,4301.0015335809675889,18009.000699324045854,8368.3928757833400596,3086.3988675359441913,7911.4007571210077003,14196.001108272070269
7,65769.813413649069844,110451.24132743569498,97567.034119021744118,606439.7167473777663,316194.44377763994271,137965.83779314911226,83380.632480735235731,142371.31175939540844,77054.202429349752492,77144.718207454236108,513111.155212095764,80925.741587157011963,118814.18602899591497,166779.52998418424977,47902.651384156488348,55015.854456324967032,170397.84158992019366,158846.71536027797265,155778.65303383674473,167193.33499865431804,203890.12012976946426,67637.279177968623117,113791.57181261913502,48825.538469151681056,199411.85179158570827,101262.51331340221805,53797.571731083218765,114550.73213241554913,71259.391609039506875,69596.138538349652663,56300.046978560705611,51298.511341555378749,75425.273267217140528,55431.302957125240937,129446.64743101732165,51325.954527675057761,52995.495986351568718,7536.0016610574612059,32255.098543468931894,9376.8923064449809317,15444.000997673068923,35886.771158144903893,15991.381754984062354,27033.33596040388511,8350.0012983682554477,4868.0010697962870836,4301.0014869381293465,18009.000601098650804,8368.3928244641483616,3086.3988360616381215,7892.3130430608061943,14196.001029225428283
8,65680.2052465697343,110302.0101068574586,97432.034506534444517,605702.16343998687807,315759.76108439918607,137795.76152688832371,83263.291228768488509,142198.49193426896818,76948.702913039247505,77039.214518444146961,512446.87336344888899,80812.281065315037267,118657.47976868684054,166584.47582368052099,47838.004048571303429,54941.802825872393441,170196.5891951485246,158657.78234820975922,155594.71747237839736,166997.02612111353665,203645.588983001624,67545.138980978910695,113638.0340014470712,48759.74481689305685,199173.97506741291727,101122.68967254443851,53724.538361450453522,114395.78339618475002,71160.726644387890701,69500.856965112106991,56223.569446226698346,51229.379986088308215,75320.216436243703356,55355.872625609787065,129281.10463488659298,51256.266332511535438,52923.613243866224366,7536.0016607083480267,32255.098433748014941,9704.2401828610782104,15444.00099164644962,36135.501868886203738,16560.343598222811124,27033.335867623733066,8639.2452012829198793,5041.2009817243579164,4301.0014324660851344,18586.622468220142764,8655.9047331142337498,3086.3988005444912233,8155.4785911542148824,14668.836926843951005
9,65590.873208336604876,110153.82050750456983,97298.324548624601448,604961.71019242377952,315330.04510572634172,137624.96641731075943,83146.864088899761555,142024.76737860674621,76843.958076879745931,76934.465898402166204,511780.68133988050977,80699.650202103905031,118501.45508391120529,166387.17547203725553,47773.029568579906481,54867.555488190504548,169992.34080439293757,158466.27768108842429,155408.26017932771356,166798.56810661946656,203398.883742570295,67453.305989314962062,113485.42106430404237,48693.719725947499683,198932.8495135952835,100984.06082489230903,53651.3060364979101,114241.67623502545757,71062.578241670824355,69405.98504834837513,56146.988393152103527,51160.018901897405158,75212.283937241387321,55280.322228657096275,129114.08691546757473,51186.328744903621555,52851.505877997471543,7807.9255383402978623,33319.412235402945953,9855.2171490947948769,15939.352806860386409,37294.209735972821363,17129.30540910311538,27867.293785023888631,8928.4890903311661532,5214.4008863287072018,4462.94332831651991,18586.622358034863282,8943.4166420926812862,3201.5767324838825516,8424.0458217771283671,14668.836831842485481
