Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,14104.167363513384771,23824.552450606075581,21036.894683401525981,129612.34128912074084,67951.31422808948264,29642.38652678517974,17966.255655776047206,30574.14171510705637,16514.682339018272614,16514.682338532162248,109706.40116083131579,17317.693737082390726,25633.408300937859167,35886.94399400283146,10265.715248708233048,11783.270574164802383,36420.277856947941473,34390.690035182218708,33668.572667651460506,36105.711806181447173,43561.41928904865199,14461.377677198643141,24544.501980056393222,10444.293467016063005,42668.794721022728481,21691.627174448381993,11552.993270010845663,24819.974639776039112,15428.496666134849875,15008.806629365064509,12051.062183580876081,10979.866788871919198,16174.311459180255042,11933.01224935355458,27842.046332943973539,10980.517894862674439,11336.987757603639693,9419.9999998939820216,36869.999999852727342,11339.999999789914,17159.999999802792445,40139.999999829553417,19709.999999820753146,28889.999999791380105,10019.999999959125489,5999.9999998211542334,5609.9999998239854904,20009.999999822670361,9959.9999998228140612,3989.9999998252310434,9779.9999998141138349,16379.99999984643182
1,13977.841046436602483,23796.997992436059576,21010.596479502124566,128447.7723591808608,68101.057705688188435,29507.2400678332815,17936.696817686373834,30464.613156655126659,16368.791527341012625,16368.791524037484123,109644.87752807831566,17162.489469722164358,25611.237263230315875,35862.131868502940051,10173.809731085042586,11677.779446680720866,36093.365440224537451,34085.442762197744742,33370.759266930559534,35785.207619641056226,43657.815651860059006,14332.122116684027787,24510.112851078785752,10350.82902678633036,42285.726479861914413,21497.077419270150131,11504.256485685758889,24871.06087711597138,15455.737168266943627,14985.766615401453237,11943.16373515622945,10881.568171400498613,16054.712287486352579,11891.723738284579667,27789.931858734864363,10884.047673632432634,11235.605683557572775,9420.0000000319578248,36870.000000981257472,11340.000003586546882,17160.000002765013051,40140.000001812950359,19710.000001338721631,28890.000000988806278,10020.000002002450856,6000.0000014487713997,5609.9999987872633938,20009.999999641393515,9960.0000023107295419,3990.0000011993197404,9780.0000010042640497,16380.000002283390131
2,13851.26594468177791,23682.56781891735227,20913.641541236971534,127562.01740489850636,68250.819114699552301,29248.052435370031162,17816.599171057627245,30220.983331665003789,16220.642699494088447,16220.642696029690342,109887.7030981243006,17007.035820546741888,25383.218162772871437,35940.955277450215362,10081.724654665764319,11572.065117025471409,36173.969634173394297,34160.712197868473595,33071.752180551215133,35464.457681397092529,43754.225705485056096,14202.378400112505915,24428.160570463511249,10257.13836307697602,42380.160916466600611,21302.297429308633582,11401.342443551538963,24922.622490983161697,15479.409789419931258,14918.54643069303529,11835.040185700292568,10783.061486189037169,15930.953402164657746,11840.20240399305294,27606.866361212767515,10785.642366022249917,11133.916605814298237,9419.999999927214958,36870.000000834545062,11340.000003377228495,17160.000002569955541,40140.000001643049472,19710.000001160333341,28890.000000779593393,10020.00000196140536,6000.0000012720383893,5609.9999986120219546,20009.999999463587301,9960.000002133056114,3990.0000010210378605,9780.0000008197821444,16380.000002129472705
3,13725.249515319124839,23548.320665562190698,20959.854490289853857,126431.93633478882839,68195.178704654492321,29313.429442730852315,17856.095155683193298,30288.335453278024943,16254.469450907217833,16254.469440078146363,108902.49300472559116,16852.112452785258938,25326.819313120529841,36019.768022833530267,9989.8047027084940055,11598.124084953995407,35847.349794674220902,34235.968742957193172,32938.986783102664049,35144.253155664780934,43850.624486417196749,14076.527327327412422,24365.549679825260682,10163.946442951892095,41997.392645647691097,21107.989897491497686,11384.016471613971589,24926.297636249561037,15476.777388650809371,14912.334500659986588,11727.404792689754686,10807.339650269323101,15966.671107654150546,11776.623973724608732,27668.096190574033244,10735.901133736537304,11033.315287171191812,9419.9999998226339812,36870.000000688080036,11340.000003168172043,17160.000002375374606,40140.000001473497832,19710.000000982254278,28890.000000572043064,10020.000001921684088,6000.0000010955545804,5609.9999984355299603,20009.999999286203092,9960.000001956577762,3990.0000008427573448,9780.0000006341742846,16380.000001975708074
4,13599.088501107564298,23538.789857530944573,20948.803789531790244,126718.79635366550065,68065.294151631009299,29214.143678860065847,17845.737548536795657,30211.748820525150222,16266.631185617512529,16266.631146000197987,107917.12943124461162,16697.051094074187858,25322.086224460694211,36024.602238278283039,9898.0278873294482764,11492.768792401593601,35520.603234062327829,33930.885995394804922,32643.341104675713723,35223.263338457669306,43459.694687756913481,13947.97988480488857,24341.280213977654057,10070.618473815569814,41614.495789475098718,20913.571707973289449,11354.00872158983293,24976.38983098366225,15504.165716662868363,14899.573710466102057,11619.643254570644785,10709.154694016058784,15852.505287598156428,11738.65749689659242,27644.445834764941537,10661.842353688392905,10932.233265884377033,9419.9999997180057107,36870.000000541505869,11340.000002958115147,17160.000002180440788,40140.000001303778845,19710.000000804029696,28890.00000036430356,10020.000001881810022,6000.0000009189252523,5609.9999982603412718,20009.999999109637429,9960.0000017801048671,3990.0000006662376109,9780.0000004496941983,16380.000001821841579
5,13472.778164072975414,23498.546823391778162,20913.373442953696212,125554.32340110946097,67781.669495562207885,29051.481236699481087,17803.776759153115563,30078.443444707616436,16119.534505204965171,16119.53446510008871,107514.70243808114901,16541.85692221294812,25291.086595066917653,35978.999615958957293,9806.1078248959747725,11387.290514767189961,35193.718560488436196,33625.664552967515192,32345.158099104890425,34902.787643937117537,43068.620672152275802,13818.664357821928206,24299.208643895308342,9977.171541991741833,41708.924119079776574,20719.036497187622444,11293.611518848312699,25028.154849596354325,15531.309396802993433,14869.459133937525621,11511.763660641310707,10610.877060525328488,15723.21761274833807,11692.850962184915261,27573.051763065010164,10564.497675853470355,10830.817123028182323,9419.9999996152600943,36870.000000396408723,11340.0000027503811,17160.000001986736606,40140.00000113567512,19710.000000628795533,28890.000000156884198,10020.000001843116479,6000.0000007439630281,5609.9999980869069987,20009.999998934526957,9960.0000016054145817,3990.0000004948878995,9780.000000265556082,16380.000001669557605
6,13346.002852630772395,23285.915754856501735,20725.616481559565727,124389.25393688461918,67173.459688696806552,28785.89242304065192,17643.301126360751368,29804.83073578918993,15971.09460438961105,15971.094564284452645,106528.56643347430509,16386.195565810332482,25062.407727277182858,35658.848135119886138,9713.83521814249616,11281.37733216612105,34866.345453153153358,33319.956028077489464,32045.868748279899592,34581.833706739787885,42677.056397259162623,13688.679456355370348,24080.158526355189679,9883.2941403525474016,41325.383683864100021,20524.057834296014335,11190.105542681672887,24807.50004327343413,15394.103082518389783,14735.462364550850907,11403.443314098485644,10512.185278281525825,15577.987365842622239,11586.135499754262128,27324.31299882876192,10465.80596842536761,10728.915832584731106,9420.0000023224820325,36870.000001088803401,11339.999998873196091,17160.000000621010258,40139.999998898150807,19710.000001124739356,28890.000001140164386,10020.000001617660018,6000.0000008970127965,5609.9999998612338459,20010.000000310930773,9960.000001269596396,3990.0000008598467502,9779.999999295670932,16379.999999666562871
7,13219.225363670479055,23073.282337832391931,20537.85722224215715,123224.18126120090892,66565.247207512147725,28520.301119258831022,17482.823209216112446,29531.215508852263156,15822.65253688537814,15822.652496780186993,105542.42728185151645,16230.531985081959647,24833.726468559747445,35338.694172380572127,9621.5605216398707853,11175.462005986810254,34538.969949756086862,33014.245105892827269,31746.576973267834546,34260.877347949004616,42285.489599540458585,13558.692391057122222,23861.105985970334586,9789.4146548354110564,40941.840776142351388,20329.077021165034239,11086.597390338587502,24586.842719250649679,15256.894512657177984,14601.463365047848129,11295.120809019252192,10413.49144023890949,15432.754899856608972,11479.417781937516338,27075.571917683722859,10367.112146406256215,10627.0124406183877,9420.000002183003744,36870.000000786531018,11339.999996927312168,17159.999999463059794,40140.000000885658665,19710.000001906941179,28890.000000843043381,10020.000002124053935,6000.0000010657686289,5609.9999998629518814,20010.000000259755325,9960.0000017196125555,3990.0000003522495717,9780.0000000105101208,16380.000000990306944
8,13092.450237428618493,22860.651656094840291,20350.100672094729816,122059.11101419814804,65957.038444799371064,28254.712557150593057,17322.348000135101756,29257.60302349655467,15674.213008446185995,15674.21296834088389,104556.29179912533436,16074.871009527871138,24605.0479592697302,35018.542793056796654,9529.288097357202787,11069.549042565990021,34211.596939561495674,32708.536691875204269,31447.287835755265405,33939.923522004595725,41893.925572443535202,13428.707776283730709,23642.056286802460818,9695.5374009852639574,40558.300533262576209,20134.098711291499058,10983.091642964329367,24366.188350620421261,15119.688534847577102,14467.466918062980767,11186.800703084607449,10314.799761698006478,15287.525195001817337,11372.702555059282531,26826.833442188195477,10268.42063853964828,10525.111342130086996,9420.0000014151573851,36870.000000620137143,11340.000001818350938,17160.00000278987136,40140.000001576605428,19710.000000664596882,28890.000001813088602,10020.000001404318027,5999.9999995392954588,5610.0000007668340913,20010.000002136508556,9960.0000022041713237,3990.0000010267244761,9780.0000000807613105,16379.999999833733455
9,12965.771287236442731,22648.396802665083669,20162.713318835278187,122346.00727207330056,65349.016891614395718,27989.483685580587917,17361.849818419239455,28984.27089763013646,15525.891790668547401,15525.891750536735344,103570.28667399159167,15919.309006781875723,24403.487769293074962,34724.602703355740232,9437.0861483170301653,10963.721920992440573,33884.323567576619098,32402.92859559835415,31148.120196177955222,33619.071208563553228,41502.466460296964215,13460.695176594290388,23695.977871101720666,9601.7485172650340246,40174.86261255840509,19939.218104545816459,10879.72664190541218,24339.745290068443865,15075.001290062267799,14354.780451480275588,11078.575319191104427,10216.194372556788949,15142.400074131495785,11293.956281781123835,26578.349803748842533,10169.839192883748183,10423.301544505520724,9420.0000027696423786,36870.000000553678547,11340.000000484265911,17160.000001838583557,40140.000000194093445,19710.000000871757948,28890.000002225566277,10020.00000114980503,6000.0000025411518436,5609.9999978885589371,20009.999999504703737,9960.0000030174032872,3990.0000007986145647,9779.9999998987914296,16380.000001287633495
