Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,14103.769318719212606,23655.056135772731068,20887.860889695541118,129611.85475150567072,67662.386984574462986,29546.504079004807863,17852.872555285081035,30439.147706849060341,16513.907113618697622,16513.907113618697622,109705.90185239879065,17317.286378618529852,25440.343391361235263,35616.480747825735307,10265.401719308920292,11782.895886464149953,36419.860012825556623,34009.722217826070846,33295.607315670677053,35705.745110570162069,43561.009034979593707,14460.826769796914959,24369.171038028132898,10443.930444897769121,42668.365407235331077,21691.240154695369711,11515.102798130874362,24547.699763516986422,15264.206034796739914,14907.14858371903938,12050.688974797427363,10979.516621564323941,16156.849662540997087,11872.160249308577477,27671.952460771866754,10979.516621564323941,11336.574072642024475,9420,36870,11340,17655.351999999998952,40140,19710,28890,10020,6173.1999999999998181,5610,20587.621999999999389,9960,3990,9780,16380
1,13976.991387819212832,23442.422264272732718,20700.101169195542752,128446.78161410566827,67054.173872874467634,29280.912337604808272,17692.394161685082508,30165.532045849060523,16365.464599518698378,16365.464599518698378,108719.7621238987922,17161.622336818531039,25211.661680561235698,35296.326352625736035,10173.126643008919928,11676.980146664149288,36092.484089925557782,33704.010878026070714,32996.315111670679471,35384.788323370165017,43169.441754679595761,14330.839270996915729,24150.11803082813276,10350.0505846977685,42284.82204663533048,21496.258906495368137,11411.594234230873553,24327.041972316987085,15126.997008296739295,14773.149125119040036,11942.366059097426842,10880.822409564323607,16011.6167163409973,11765.442117608577973,27423.210950771866919,10880.822409564323607,11234.670292742024685,9691.9239999999990687,37811.619137320078153,11340,17655.351999999998952,40140,20278.961999999999534,29723.957999999998719,10020,6173.1999999999998181,5610,21165.243999999998778,9960,3990,9780,16380
2,13850.213456919213058,23229.788392772734369,20512.341448695544386,127281.70847670566582,66445.960761174472282,29015.32059620480868,17531.915768085083982,29891.916384849060705,16217.022085418699135,16217.022085418699135,107733.62239539879374,17005.958295018532226,24982.979969761236134,34976.171957425736764,10080.851566708919563,11571.064406864148623,35765.108167025558942,33398.299538226070581,32697.022907670678251,35063.831536170167965,42777.874474379597814,14200.8517721969165,23931.065023628132622,10256.170724497767878,41901.278686035329883,21301.277658295366564,11308.085670330872745,24106.384181116987747,14989.787981796738677,14639.149666519040693,11834.04314339742632,10782.128197564323273,15866.383770140997512,11658.72398590857847,27174.469440771867085,10782.128197564323273,11132.766512842024895,9963.8479999999981374,37811.619137320078153,11568.062059999827397,17655.351999999998952,40140,20278.961999999999534,30557.915999999997439,10309.244000000000597,6173.1999999999998181,5610,21742.865999999998166,9960,3990,9780,16380
3,13723.435526019213285,23017.154521272736019,20324.58172819554602,126116.63533930566336,65837.74764947447693,28749.728854804809089,17371.437374485085456,29618.300723849060887,16068.579571318699891,16068.579571318699891,106747.48266689879529,16850.294253218533413,24754.29825896123657,34656.017562225737493,9988.5764904089191987,11465.148667064147958,35437.732244125560101,33092.588198426070448,32397.73070367067703,34742.874748970170913,42386.307194079599867,14070.86427339691727,23712.012016428132483,10162.290864297767257,41517.735325435329287,21106.29641009536499,11204.577106430871936,23885.72638991698841,14852.578955296738059,14505.15020791904135,11725.720227697425798,10683.433985564322938,15721.150823940997725,11552.005854208578967,26925.72793077186725,10683.433985564322938,11030.862732942025104,9963.8479999999981374,37811.619137320078153,11895.410059999827354,18150.703999999997905,40140,20278.961999999999534,30557.915999999997439,10598.488000000001193,6173.1999999999998181,5610,21742.865999999998166,9960,3990,9780,16380
4,13596.657595119213511,22804.52064977273767,20136.822007695547654,124951.56220190566091,65229.534537774474302,28484.137113404809497,17210.95898088508693,29344.685062849061069,15920.137057218700647,15920.137057218700647,105761.34293839879683,16694.6302114185346,24525.616548161237006,34335.863167025738221,9896.3014141089188342,11359.232927264147293,35110.35632122556126,32786.876858626070316,32098.43849967067581,34421.917961770173861,41994.73991377960192,13940.87677459691804,23492.959009228132345,10068.411004097766636,41134.19196483532869,20911.315161895363417,11101.068542530871127,23665.068598716989072,14715.36992879673744,14371.150749319042006,11617.397311997425277,10584.739773564322604,15575.917877740997938,11445.287722508579463,26676.986420771867415,10584.739773564322604,10928.958953042025314,9963.8479999999981374,38875.933137320076639,11895.410059999827354,18150.703999999997905,41298.707999999998719,20278.961999999999534,30557.915999999997439,10887.73200000000179,6173.1999999999998181,5610,21742.866000000041822,9960,3990,9780,16852.835999999999331
5,13469.879664219213737,22591.886778272739321,19949.062287195549288,123786.48906450565846,64621.321426074471674,28218.545372004809906,17050.480587285088404,29071.069401849061251,15771.694543118701404,15771.694543118701404,104775.20320989879838,16538.966169618535787,24296.934837361237442,34015.70877182573895,9804.0263378089184698,11253.317187464146627,34782.980398325562419,32481.165518826070183,31799.14629567067459,34100.961174570176809,41603.172633479603974,13810.88927579691881,23273.906002028132207,9974.5311438977660146,40750.648604235328094,20716.333913695361844,10997.559978630870319,23444.410807516989735,14578.160902296736822,14237.151290719042663,11509.074396297424755,10486.04556156432227,15430.68493154099815,11338.56959080857996,26428.24491077186758,10486.04556156432227,10827.055173142025524,9963.8479999999981374,39225.693123040160572,11895.410059999827354,18150.703999999997905,41298.707999999998719,20847.923999999999069,31391.873999999996158,11176.976000000002387,6280.4000000000005457,5610,22320.488000000041211,9960,3990,9780,16852.835999999999331
6,13343.101733319213963,22379.252906772740971,19761.302566695550922,122621.41592710565601,64013.108314374469046,27952.953630604810314,16890.002193685089878,28797.453740849061433,15623.25202901870216,15623.25202901870216,103789.06348139879992,16383.302127818535155,24068.253126561237877,33695.554376625739678,9711.7512615089181054,11147.401447664145962,34455.604475425563578,32175.454179026070051,31499.85409167067337,33780.004387370179757,41211.605353179606027,13680.90177699691958,23054.852994828132069,9880.6512836977653933,40367.105243635327497,20521.35266549536027,10894.05141473086951,23223.753016316990397,14440.951875796736203,14103.15183211904332,11400.751480597424234,10387.351349564321936,15285.451985340998363,11231.851459108580457,26179.503400771867746,10387.351349564321936,10725.151393242025733,9963.8479999999981374,39225.693123040160572,11895.410059999827354,18150.703999999997905,41298.707999999998719,20847.923999999999069,30725.283550000043761,11176.976000000002387,6280.4000000000005457,5610,22320.487999999997555,9628,3857,9780,16852.835999999999331
7,13216.323802419214189,22166.619035272742622,19573.542846195552556,121456.34278970565356,63404.895202674466418,27687.361889204810723,16729.523800085091352,28523.838079849061614,15474.809514918702916,15474.809514918702916,102802.92375289880147,16227.638086018534523,23839.571415761238313,33375.399981425740407,9619.476185208917741,11041.485707864145297,34128.228552525564737,31869.742839226069918,31200.561887670672149,33459.047600170182704,40820.03807287960808,13550.91427819692035,22835.79998762813193,9786.771423497764772,39983.5618830353269,20326.371417295358697,10790.542850830868701,23003.09522511699106,14303.742849296735585,13969.152373519043977,11292.428564897423712,10288.657137564321602,15140.219039140998575,11125.133327408580953,25930.761890771867911,10288.657137564321602,10623.247613342025943,9963.8479999999981374,37996.693123040160572,11819.304000000000087,18150.703999999997905,41298.707999999998719,20190.923999999999069,29762.283550000043761,10842.976000000002387,6280.4000000000005457,5423,21820.813920000000508,9296,3724,9755.4239299998953356,16306.835999999999331
8,13089.545871519214415,21953.985163772744272,19385.78312569555419,120291.26965230565111,62796.68209097446379,27421.770147804811131,16569.045406485092826,28250.222418849061796,15326.367000818703673,15326.367000818703673,101816.78402439880301,16071.974044218533891,23610.889704961238749,33055.245586225741135,9527.2011089089173765,10935.569968064144632,33800.852629625565896,31564.031499426069786,30901.269683670670929,33138.090812970185652,40428.470792579610134,13420.92677939692112,22616.746980428131792,9692.8915632977641508,39600.018522435326304,20131.390169095357123,10687.034286930867893,22782.437433916991722,14166.533822796734967,13835.152914919044633,11184.10564919742319,10189.962925564321267,14994.986092940998788,11018.41519570858145,25682.020380771868076,10189.962925564321267,10521.343833442026153,9818.1520000000018626,37996.693123040160572,11819.304000000000087,18150.703999999997905,41298.707999999998719,20190.923999999999069,28799.283550000043761,10842.976000000002387,6280.4000000000005457,5423,21820.813920000000508,8964,3591,9722.9711599998954625,16306.835999999999331
9,12962.767940619214642,21741.351292272745923,19198.023405195555824,119126.19651490564866,62188.468979274461162,27156.17840640481154,16408.5670128850943,27976.606757849061978,15177.924486718704429,15177.924486718704429,100830.64429589880456,15916.310002418533259,23382.207994161239185,32735.091191025741864,9434.9260326089170121,10829.654228264143967,33473.476706725567055,31258.320159626069653,30601.977479670669709,32817.1340257701886,40036.903512279612187,13290.93928059692189,22397.693973228131654,9599.0117030977635295,39216.475161835325707,19936.40892089535555,10583.525723030867084,22561.779642716992385,14029.324796296734348,13701.15345631904529,11075.782733497422669,10091.268713564320933,14849.753146740999,10911.697064008581947,25433.278870771868242,10091.268713564320933,10419.440053542026362,9818.1520000000018626,37996.693123040160572,11819.304000000000087,18150.703999999997905,41298.707999999998719,20190.923999999999069,29633.24155000004248,10842.976000000002387,6280.4000000000005457,5423,21820.813920000000508,8964,3591,9722.9711599998954625,16306.835999999999331
10,12835.990009719214868,21528.717420772747573,19010.263684695557458,117961.1233775056462,61580.255867574458534,26890.586665004811948,16248.088619285093955,27702.99109684906216,15029.481972618705186,15029.481972618705186,99844.504567398806103,15760.645960618532627,23153.526283361239621,32414.936795825742593,9342.6509563089166477,10723.738488464143302,33146.100783825568215,30952.608819826069521,30302.685275670668489,32496.17723857018791,39645.33623197961424,13160.95178179692266,22178.640966028131515,9505.1318428977629083,38832.931801235325111,19741.427672695353976,10480.017159130866276,22341.121851516993047,13892.11576979673373,13567.153997719045947,10967.459817797422147,9992.5745015643205988,14704.520200540999213,10804.978932308582444,25184.537360771868407,9992.5745015643205988,10317.536273642026572,9818.1520000000018626,38493.586569999970379,11819.304000000000087,18646.055999999996857,41298.707999999998719,20190.923999999999069,29633.24155000004248,10842.976000000002387,6280.4000000000005457,5423,21820.813920000000508,8964,3706.1779999999998836,10005.287159999896176,16453.164000000000669
11,12709.212078819215094,21316.083549272749224,18822.503964195559092,116796.05024010564375,60972.042755874455906,26624.994923604812357,16087.61022568509361,27429.375435849062342,14881.039458518705942,14881.039458518705942,98858.364838898807648,15604.981918818531994,22924.844572561240057,32094.782400625743321,9250.3758800089162833,10617.822748664142637,32818.724860925569374,30646.897480026069388,30003.393071670667268,32175.22045137018722,39253.768951679616293,13030.96428299692343,21959.587958828131377,9411.251982697762287,38449.388440635324514,19546.446424495352403,10376.508595230865467,22120.464060316993709,13754.906743296733111,13433.154539119046603,10859.136902097421626,9893.8802895643202646,14559.287254340999425,10698.26080060858294,24935.795850771868572,9893.8802895643202646,10215.632493742026782,10090.076000000000931,39557.900569999968866,11819.304000000000087,18646.055999999996857,41657.292000000008557,20759.885999999998603,30144.978849999974045,11132.220000000002983,6453.6000000000003638,5584.9420000000000073,21820.813920000000508,9251.5120000000006257,3821.3559999999997672,10005.287159999896176,16453.164000000000669
12,12582.43414791921532,21103.449677772750874,18634.744243695560726,115630.9771027056413,60363.829644174453279,26359.403182204812765,15927.131832085093265,27155.759774849062524,14732.596944418706698,14732.596944418706698,97872.225110398809193,15449.317877018531362,22696.162861761240492,31774.62800542574405,9158.1008037089159188,10511.907008864141972,32491.348938025570533,30341.186140226069256,29704.100867670666048,31854.26366417018653,38862.201671379618347,12900.9767841969242,21740.534951628131239,9317.3721224977616657,38065.845080035323917,19351.46517629535083,10273.000031330864658,21899.806269116994372,13617.697716796732493,13299.15508051904726,10750.813986397421104,9795.1860775643199304,14414.054308140999638,10591.542668908583437,24687.054340771868738,9795.1860775643199304,10113.728713842026991,10362,39557.900569999968866,12146.652000000000044,18646.055999999996857,41657.292000000008557,20759.885999999998603,30978.936849999972765,11132.220000000002983,6453.6000000000003638,5584.9420000000000073,21820.813920000000508,9251.5120000000006257,3936.5339999999996508,10287.603159999896889,16453.164000000000669
13,12455.656217019215546,20890.815806272752525,18446.98452319556236,114465.90396530563885,59755.616532474450651,26093.811440804813174,15766.65343848509292,26882.144113849062705,14584.154430318707455,14584.154430318707455,96886.085381898810738,15293.65383521853073,22467.481150961240928,31454.473610225744778,9065.8257274089155544,10405.991269064141306,32163.973015125571692,30035.474800426069123,29404.808663670664828,31533.30687697018584,38470.6343910796204,12770.98928539692497,21521.481944428131101,9223.4922622977610445,37682.301719435323321,19156.483928095349256,10169.49146743086385,21679.148477916995034,13480.488690296731875,13165.155621919047917,10642.491070697420582,9696.4918655643195962,14268.82136194099985,10484.824537208583934,24438.312830771868903,9696.4918655643195962,10011.824933942027201,10362,40622.214569999967352,12146.652000000000044,18952.648000000001048,42816.000000000007276,21112.038000000000466,31812.894849999971484,11132.220000000002983,6453.6000000000003638,5746.8840000000000146,21820.813920000000508,9539.0240000000012515,4051.7119999999995343,10287.603159999896889,16453.164000000000669
